名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
鲁迅故居,上海,上海,上海,021,56662608,虹口足球场/鲁迅公园,山阴路132弄大陆新邨9号,景点,名人故居,121.484291,31.266134
上海鲁迅纪念馆,上海,上海,上海,021,65402288,虹口足球场/鲁迅公园,欧阳路街道甜爱路200号（近四川北路）,景点,纪念馆,121.483765,31.269737
民间民俗藏筷馆,上海,上海,上海,021,56717528,四川北路/海伦路,多伦路191号,景点,展览馆,121.481659,31.263496
南京钟藏室,上海,上海,上海,021,56964048,四川北路/海伦路,多伦路191号（近四川北路）,景点,博物馆,121.481392,31.263409
上海博物馆,上海,上海,上海,021,63723500-134,人民广场/南京路,人民大道201号,景点,博物馆,121.475464,31.228291
上海城市规划展示馆,上海,上海,上海,021,63184477,人民广场/南京路,人民大道100号,景点,陈列馆,121.475502,31.231262
上海科技馆,上海,上海,上海,021,68622000-6888,世纪公园/科技馆,世纪大道2000号（近二号线上海科技馆站）,景点,科技馆,121.541385,31.218145
上海历史收藏馆,上海,上海,上海,021,53821202,城隍庙/豫园,方浜中路385号,景点,博物馆,121.490196,31.225092
东平国家森林公园,上海,上海,崇明区,021,59338028;59338379,东平森林公园,北沿公路2188号,景点,森林公园,121.480865,31.683735
复兴公园,上海,上海,上海,021,53861069;53860187,淮海路,瑞金二路街道复兴中路516号,景点,城市公园,121.469116,31.216951
共青国家森林公园,上海,上海,上海,021,65740586;65328194,中原地区,军工路2000号,景点,森林公园,121.551758,31.319099
淮海公园,上海,上海,上海,021,63866377,淮海路,太仓路56号,景点,城市公园,121.477539,31.223061
陆家嘴中心绿地,上海,上海,上海,021,58875487,陆家嘴,陆家嘴环路717号,景点,城市公园,121.506233,31.237886
上海动物园,上海,上海,上海,021,62689733;62687775,虹桥火车站/机场,虹桥路2381号,景点,动物园,121.362999,31.193279
上海野生动物园,上海,上海,上海,021,58036000,惠南镇,南六公路178号,景点,野生动物园,121.721519,31.054588
上海植物园,上海,上海,上海,021,54363369,上海南站,龙吴路1111号,景点,植物园,121.444229,31.147306
绍兴公园,上海,上海,上海,021,64371615;64377615,瑞金宾馆区,绍兴路62号（近陕西南路）,景点,城市公园,121.46344,31.209442
世纪公园,上海,上海,上海,021,58333983;38760588,世纪公园/科技馆,锦绣路1001号,景点,文化公园,121.552567,31.215725
襄阳公园,上海,上海,上海,021,54042208,音乐学院/五官科医院,淮海中路1008号,景点,公园/广场,121.456742,31.217017
徐家汇公园,上海,上海,上海,021,64833541,徐家汇,肇嘉浜路889号（天平路宛平路间）,景点,城市公园,121.442459,31.197395
中山公园,上海,上海,上海,021,62525225,中山公园/江苏路,长宁路780号（近定西路）,景点,公园/广场,121.419052,31.221661
上海城隍庙,上海,上海,上海,021,63284494,城隍庙/豫园,方浜中路249号,景点,宗教,121.492424,31.225756
上海大观园,上海,上海,上海,021,59262089;59262831,青浦区,金商公路701号,景点,园林,120.909866,31.07354
东方绿舟景区,上海,上海,上海,021,59233000;59233222,青浦区,沪青平公路6888号东方绿舟5号门或1号门,景点,更多景点/周边游,121.010368,31.107944
东方明珠广播电视塔,上海,上海,上海,021,58792888;58791888,陆家嘴,世纪大道1号（近二号线陆家嘴站）,景点,高空观景,121.499756,31.23958
上海古猗园,上海,上海,上海,021,59124916,南翔,南翔镇沪宜公路218号,景点,园林,121.316963,31.291853
七宝老街,上海,上海,上海,021,64615308;64610016,七宝,青年路与横沥路交叉口西南角,景点,休闲街区,121.355339,31.152487
人民广场,上海,上海,上海,021,137****2878,人民广场/南京路,人民大道120号,景点,广场,121.474983,31.22876
上海海洋水族馆,上海,上海,上海,021,58779988,陆家嘴,陆家嘴环路1388号（近东方明珠）,景点,海洋馆,121.501884,31.240805
佘山国家森林公园,上海,上海,上海,021,57657231,佘山,佘山镇外青松公路9258号,景点,森林公园,121.196685,31.094367
