名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
新疆八钢旅行社有限公司,新疆,乌鲁木齐,乌鲁木齐,0901,3882266,头屯河区,八一路536号,景点,旅行社,87.295109,43.857386
胡杨旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,8809649,五星南路,碱泉街城盛花园1单元102室,景点,旅行社,87.638252,43.802818
盐城湖旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,5831232,长江路,奇台路兴乐市贸广场,景点,旅行社,87.592873,43.788391
中青旅国际旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,2818451,建设路,文艺路233号宏源大厦3楼、17楼,景点,旅行社,87.617378,43.798199
中国旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,2881466,新华南路,新华南路835号广汇大厦11楼,景点,旅行社,87.610992,43.778652
友好旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,4832288;6991227,友好北路,友好北路548号,景点,旅行社,87.589661,43.823418
天昆旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,4841110,友好北路,友好北路天一大厦A602室（西北路车站下车即到）,景点,旅行社,87.589691,43.823097
红山公园,新疆,乌鲁木齐,乌鲁木齐,0901,8855671,红山路,红山路北一巷40号,景点,城市公园,87.606483,43.80801
鲤鱼山公园,新疆,乌鲁木齐,乌鲁木齐,0901,4323627,小西沟,高新街街道鲤鱼山南路177号,景点,公园/广场,87.580239,43.851017
乌鲁木齐盛贝特海洋馆,新疆,乌鲁木齐,乌鲁木齐,0901,2894194,天山区,燕儿窝路2号,景点,海洋馆,87.611847,43.761349
水磨沟公园,新疆,乌鲁木齐,乌鲁木齐,0901,4684055,水磨沟公园,水磨沟路472号,景点,自然风光,87.656296,43.826908
乌鲁木齐市水上乐园,新疆,乌鲁木齐,乌鲁木齐,0901,8526301,天山区,燕儿窝街道燕儿窝路4号,景点,游乐场,87.614014,43.754715
儿童公园,新疆,乌鲁木齐,乌鲁木齐,0901,4820934;4817205,新医路,友好北路29号,景点,公园/广场,87.581238,43.832664
达坂城风力发电站,新疆,乌鲁木齐,乌鲁木齐,0901,,达坂城区,G7京新高速附近,景点,更多景点/周边游,87.861427,43.572002
柴窝堡湖,新疆,乌鲁木齐,乌鲁木齐,0901,,达坂城区,达坂城谷地中,景点,自然风光,87.90506,43.506073
新疆民俗风情街,新疆,乌鲁木齐,乌鲁木齐,0901,,南门,解放南路37号,景点,休闲街区,87.61898,43.790421
南山牧场西白杨沟风景区,新疆,乌鲁木齐,乌鲁木齐县,0901,5837888;133****3111,乌鲁木齐县其他,甘沟乡216国道南山牧场白杨沟风景区,景点,自然风光,87.168205,43.430298
雅玛里克山,新疆,乌鲁木齐,乌鲁木齐,0901,7960065,沙依巴克区,宝塔路,景点,自然风光,87.576951,43.799016
丝绸之路国际滑雪场,新疆,乌鲁木齐,乌鲁木齐县,0901,5911111,乌鲁木齐县其他,水西沟镇平西梁村二队丝绸之路国际度假区,景点,滑雪场,87.414619,43.441875
南大寺,新疆,乌鲁木齐,乌鲁木齐,0901,,国际大巴扎,解放南路23号,景点,宗教,87.616615,43.780209
陕西大寺,新疆,乌鲁木齐,乌鲁木齐,0901,4532488,文化路,永和正街17号,景点,宗教,87.621056,43.789307
五彩湾风景区,新疆,乌鲁木齐,乌鲁木齐,0901,2782200,米东区,以北100号余公里古尔班通古特沙漠（近红旗村）,景点,自然风光,87.891716,44.911781
港中旅国际新疆旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,2329852,红旗路,红旗路91号夏蒙大厦6楼,景点,旅行社,87.616562,43.794666
新疆天山野生动物园,新疆,乌鲁木齐,乌鲁木齐,0901,5916208;5916608,达坂城区,窝尔图路天山牧场五队,景点,动物园,87.786339,43.668144
中国青年旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,,五星南路,青年路北一巷8号中基大厦4楼,景点,旅行社,87.627281,43.804363
红光山景区,新疆,乌鲁木齐,乌鲁木齐,0901,4889169;4889777,亚欧国际会展中心,红光山路一号,景点,自然风光,87.624298,43.891663
青海大寺,新疆,乌鲁木齐,乌鲁木齐,0901,3990535,文化路,和平南路263号,景点,宗教,87.621613,43.785812
阳光假期旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,135****5811,五星南路,青年路17号阳光花苑B座605室,景点,旅行社,87.628731,43.804329
康辉大自然国际旅行社,新疆,乌鲁木齐,乌鲁木齐,0901,5293000;189****6146,乌鲁木齐市一中,解放北路128号天际大厦8F（近儿童医院，第一中学，海融口腔门诊）,景点,旅行社,87.621368,43.799435
