名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
京城百工坊,北京,北京,北京,010,67111381,左安门,光明路乙12号（夕照寺街口）,景点,博物馆,116.434853,39.883713
百年印象摄影画廊,北京,北京,北京,010,64381784,798/大山子,酒仙桥路4号,景点,展览馆,116.495628,39.984051
东京画廊,北京,北京,北京,010,59784838,798/大山子,酒仙桥路2号798艺术区陶瓷三街E02号,景点,展览馆,116.495476,39.98344
红门画廊,北京,北京,北京,010,,崇文门,崇文门东大街东便门角楼,景点,美术馆,116.434262,39.901633
国宜广场,北京,北京,北京,010,63950810,公主坟/万寿路,西三环中路19号,景点,广场,116.309193,39.904403
北京大学-地质博物馆,北京,北京,北京,010,62756088,颐和园,颐和园路5号北京大学燕园内,景点,博物馆,116.309937,39.991894
大葆台西汉墓博物馆,北京,北京,北京,010,83612852,世界公园,郭公庄707号,景点,博物馆,116.297859,39.806305
大钟寺古钟博物馆,北京,北京,北京,010,82139050;82132630,双榆树,北三环西路甲31号,景点,博物馆,116.338181,39.969074
中国第四纪冰川遗迹陈列馆,北京,北京,北京,010,88722585,模式口,模式口大街28号,景点,陈列馆,116.161873,39.937763
北京古代建筑博物馆,北京,北京,北京,010,63172150;63017620,虎坊桥,东经路21号,景点,博物馆,116.392044,39.877522
古陶文明博物馆,北京,北京,北京,010,63538811;63538884,右安门,右安门内西街12号,景点,博物馆,116.3573,39.87336
观复博物馆,北京,北京,北京,010,64338887;64337775,金盏,大山子张万坟金南路18号,景点,博物馆,116.534325,40.006969
中国航天博物馆,北京,北京,北京,010,68755656,南苑/德茂桥,万源路1号,景点,博物馆,116.423546,39.804871
北京焦庄户地道战遗址纪念馆,北京,北京,北京,010,60461906,顺义区,焦庄户村38号,景点,纪念馆,116.870066,40.233788
中国人民抗日战争纪念馆,北京,北京,北京,010,63777088;63777188,卢沟桥,卢沟桥宛平城内街101号,景点,纪念馆,116.225955,39.851771
北京鲁迅博物馆,北京,北京,北京,010,50872677,阜成门,新街口街道宫门口二条19号（阜成门地铁站B东北口步行260米）,景点,博物馆,116.358696,39.925732
密云区博物馆,北京,北京,密云区,010,69053677,密云果园,果园街道西门外大街2号,景点,博物馆,116.836227,40.377277
民族文化宫博物馆,北京,北京,北京,010,83195280,西单,复兴门内大街49号,景点,博物馆,116.369019,39.908096
奇石馆,北京,北京,北京,010,62048190,安定门,安德路102号,景点,陈列馆,116.391968,39.95126
北京石刻艺术博物馆,北京,北京,北京,010,62173543,魏公村,五塔寺路24号,景点,博物馆,116.330467,39.94463
首都博物馆,北京,北京,北京,010,63370491;63370492,复兴门,复兴门外大街16号,景点,博物馆,116.342067,39.906412
北京天文馆,北京,北京,北京,010,68312517,西直门/动物园,西直门外大街138号,景点,天文馆,116.336899,39.937424
通州博物馆,北京,北京,北京,010,69555161,新华大街,西大街9号,景点,博物馆,116.667381,39.908012
王府井古人类文化遗址博物馆,北京,北京,北京,010,85186306,王府井/东单,东长安街与王府井大街交叉口东北100米,景点,博物馆,116.412819,39.909153
西周燕都遗址博物馆,北京,北京,北京,010,61393475;61393049,窦店镇,琉璃河镇董家林村7区1号,景点,博物馆,116.056877,39.616669
北大红楼,北京,北京,北京,010,52208928;52208929,王府井/东单,五四大街29号,景点,纪念馆,116.405319,39.924675
北京艺术博物馆,北京,北京,北京,010,68413380;68456997,紫竹桥,西三环北路万寿寺内,景点,博物馆,116.311386,39.946651
