名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
凤凰假期旅游有限公司,江苏,南京,南京,025,84720228;84720398,新街口地区,汉中路112号金轮大厦汇贤楼2楼,景点,旅行社,118.778244,32.042811
大华国际旅行社,江苏,南京,南京,025,4001109966,山西路/湖南路,中山北路8号绿地广场云峰大厦,景点,旅行社,118.782608,32.06089
康辉南京国际旅行社,江苏,南京,南京,025,83304588,三牌楼,新模范马路17号宏景公寓02幢2楼,景点,旅行社,118.774103,32.077733
江苏海外旅游,江苏,南京,南京,025,83428999,新城市/虹桥中心,中山北路202号江苏工人大厦F1层,景点,旅行社,118.765759,32.075689
天地旅行社,江苏,南京,南京,025,,南京西站/阅江楼,戴家巷9号101室,景点,旅行社,118.749545,32.081486
中国旅行社,江苏,南京,南京,025,83366227,火车站/玄武湖,百子亭百新大厦3楼,景点,旅行社,118.78614,32.065186
江苏省中国旅行社,江苏,南京,南京,025,87768989,南京西站/阅江楼,中山北路313号,景点,旅行社,118.755516,32.083347
南京地质博物馆,江苏,南京,南京,025,51816587,珠江路沿线,珠江路700号,景点,博物馆,118.807343,32.044617
菊花台公园,江苏,南京,南京,025,52890685,安德门/小行,安德门大街6号（近花神大道）,景点,城市公园,118.757446,31.982098
龙泉禅寺,江苏,南京,南京,025,,开发区,龙泉寺1号（将军山风景区内）,景点,宗教,118.764847,31.926889
雨花台风景区,江苏,南京,南京,025,68783033;52411523,秦虹村/中华门,雨花路215号,景点,自然景观,118.781883,31.998032
明故宫遗址公园,江苏,南京,南京,025,84807135,珠江路沿线,中山东路311号,景点,古代遗迹,118.817909,32.041409
煦园,江苏,南京,南京,025,84578888,新街口地区,长江路292号（大行宫地铁站5号口步行320米）,景点,园林,118.797127,32.04351
南京中国近代史遗址博物馆,江苏,南京,南京,025,84578716;84578888,新街口地区,长江路292号,景点,博物馆,118.797417,32.044258
南京古林公园,江苏,南京,南京,025,83700646,南京艺术学院/龙江,虎踞北路21号,景点,纪念公园,118.753338,32.066893
伯乐园,江苏,南京,南京,025,,和燕路,和燕路439号新联二村,景点,城市公园,118.819725,32.128235
二桥公园,江苏,南京,南京,025,58028888,栖霞区,太新路101号,景点,城市公园,118.846626,32.15414
南京市红山森林动物园,江苏,南京,南京,025,4008510057,红山动物园/火车站,和燕路168号,景点,动物园,118.802986,32.0919
舍利塔,江苏,南京,南京,025,,摄山,栖霞街88号栖霞山风景名胜区内,景点,人文古迹,118.960037,32.151703
燕子矶公园,江苏,南京,南京,025,85311337,和燕路,临江街3号,景点,公园/广场,118.817137,32.146818
江浦公园,江苏,南京,南京,025,,江浦,码头街与新马路交叉口北,景点,公园/广场,118.622108,32.062267
龙王山风景区,江苏,南京,南京,025,58735094,南京信息工程大学,龙山北路,景点,自然风光,118.709145,32.191715
浦口公园,江苏,南京,南京,025,,浦口区,新马路2号,景点,城市公园,118.719688,32.102161
泰山寺,江苏,南京,南京,025,58841072,浦口区,泰西路24号,景点,宗教,118.709457,32.1437
南京珍珠泉风景区,江苏,南京,南京,025,58601545,浦口区,珍珠街182号,景点,自然风光,118.660801,32.127039
狮子山景区,江苏,南京,南京,025,58815369;58590298,建宁路,建宁路202号阅江楼景区内（东侧）,景点,自然风光,118.752647,32.092907
大钟亭公园,江苏,南京,南京,025,57713865,南大/南师大,大钟亭1号（鼓楼地铁站4B口步行110米）,景点,公园/广场,118.784569,32.060539
鼓楼公园,江苏,南京,南京,025,86634466,紫峰购物广场,北京西路1-2号,景点,城市公园,118.782021,32.058701
汉中门市民广场,江苏,南京,南京,025,,南大/南师大,虎踞南路汉中门地铁站3号口步行70米,景点,广场,118.767395,32.041702
南师大珍稀动物标本博物馆,江苏,南京,南京,025,,南大/南师大,宁海路南师大校内,景点,博物馆,118.767616,32.052761
赛珍珠故居,江苏,南京,南京,025,,南大/南师大,中山路249号南京大学鼓楼校区,景点,名人故居,118.778336,32.055126
乌龙潭公园,江苏,南京,南京,025,83714809,南大/南师大,广州路215号（省人民医院对面）,景点,城市公园,118.766151,32.045925
南湖公园,江苏,南京,南京,025,57566628,莫愁湖/水西门,莫愁湖街道南湖东路与彩虹苑路交叉口,景点,公园/广场,118.762657,32.028111
溧水区博物馆,江苏,南京,溧水区,025,57225258,溧水区,天生桥大道500号,景点,博物馆,118.987144,31.642887
无想寺森林公园,江苏,南京,溧水区,025,,溧水区,金牛北路,景点,森林公园,119.041748,31.584478
