名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
白鹿洞寺,福建,厦门,厦门,0592,2131499,中山路/轮渡,白鹿路5号之1,景点,宗教,118.089943,24.450024
白鹭洲公园,福建,厦门,厦门,0592,5082380,白鹭洲公园,白鹭洲路,景点,城市公园,118.093552,24.474873
北辰山景区,福建,厦门,厦门,0592,7232155,同安区,五显镇北辰山风景区,景点,自然风光,118.248354,24.799087
笔架山,福建,厦门,鼓浪屿,0592,,鼓浪屿,笔山路鼓浪屿内,景点,自然风光,118.06523,24.447604
陈嘉庚先生故居,福建,厦门,厦门,0592,6681600;6685986,石鼓路/集美学村,嘉庚路149号,景点,名人故居,118.102112,24.567974
锄山,福建,厦门,厦门,0592,,马巷,内厝镇,景点,自然风光,118.276787,24.66576
大轮山公园,福建,厦门,厦门,0592,,汀溪,大同街道梵天文化广场西侧,景点,公园/广场,118.156151,24.743647
大溪山,福建,厦门,厦门,0592,,集美区,同安莲花镇及集美石兜水库之间,景点,自然风光,118.012513,24.699483
埭辽水库,福建,厦门,厦门,0592,,高崎机场,禾山街道埭辽公园（岐山北二路西150米）,景点,水利工程,118.138847,24.531427
东芳山,福建,厦门,厦门,0592,,莲前大道/加州广场,莲前东路,景点,自然风光,118.149216,24.48086
厦门东坪山旅游度假区,福建,厦门,厦门,0592,5880607,火车站,观音山路东山社68-70号东坪山景区,景点,更多景点/周边游,118.124187,24.455106
梵天寺,福建,厦门,厦门,0592,7225879,汀溪,大同街道轮山路99号,景点,宗教,118.158485,24.740083
佛教居士林,福建,厦门,厦门,0592,,海沧区,南海路腾龙特种树脂公司,景点,宗教,118.006569,24.48377
甘露寺,福建,厦门,厦门,0592,2044020,环岛路沿线,虎园路19号,景点,宗教,118.093262,24.450396
鼓浪屿钢琴博物馆,福建,厦门,鼓浪屿,0592,2060238;2570331,鼓浪屿,鼓浪屿街道港仔后路7号,景点,陈列馆,118.069791,24.438305
港仔后海滨浴场,福建,厦门,鼓浪屿,0592,2060777,鼓浪屿,港仔后路7号（近菽庄花园）,景点,海滨沙滩,118.065622,24.438932
观音山海滨旅游商业街,福建,厦门,厦门,0592,,软件园,X401（环岛东路）,景点,休闲街区,118.19754,24.492762
仙岳观音寺,福建,厦门,厦门,0592,5101176,SM城市广场,仙岳路1279号,景点,宗教,118.122226,24.503158
灌口凤山庙,福建,厦门,厦门,0592,6099686,灌口/凤泉广场,凤山庙路冠华楼东北侧约110米,景点,宗教,117.993668,24.60667
归来堂,福建,厦门,厦门,0592,6681600,石鼓路/集美学村,嘉庚路与尚南路交叉口,景点,名人故居,118.101997,24.567331
归来园,福建,厦门,厦门,0592,,高崎火车站,殿前二路西50米,景点,自然风光,118.106468,24.532106
鬼仔坑水库,福建,厦门,厦门,0592,,环岛路沿线,滨海街道,景点,现代建筑,118.14532,24.44409
厦门海底世界,福建,厦门,鼓浪屿,0592,2571611,鼓浪屿,鼓浪屿龙头路2号,景点,海洋馆,118.071265,24.446174
厦门皓月园,福建,厦门,鼓浪屿,0592,2067530;2061777,鼓浪屿,鼓浪屿漳州路3号,景点,纪念公园,118.075928,24.441164
鸿山公园,福建,厦门,厦门,0592,2025696,厦门大学,思明南路331号,景点,公园/广场,118.086639,24.447294
鸿山寺,福建,厦门,厦门,0592,2034694,中山路/轮渡,思明南路305号,景点,宗教,118.084419,24.448223
狐尾山公园,福建,厦门,厦门,0592,5611171,市政府,湖滨中路狐尾山气象主题公园内,景点,城市公园,118.086281,24.483898
胡里山炮台,福建,厦门,厦门,0592,2088313,曾厝垵,曾厝垵路2号,景点,古代遗迹,118.106382,24.429492
湖里公园,福建,厦门,厦门,0592,6030729;6037092,湖里公园,湖里工业区牛公岭山麓华泰路32号,景点,公园/广场,118.106392,24.504494
虎溪岩,福建,厦门,厦门,0592,2021732,中山路/轮渡,虎溪岩路5号,景点,自然风光,118.091476,24.449627
华侨博物院,福建,厦门,厦门,0592,2084028,厦门大学,思明南路493号,景点,博物馆,118.090034,24.442108
基督教,福建,厦门,厦门,0592,,枋湖,江头绿州商厦对面,景点,宗教,118.145752,24.511801
基督教竹树堂,福建,厦门,厦门,0592,2017328,中山路/轮渡,开禾路129-135号,景点,宗教,118.074608,24.459782
集美海洋动物馆,福建,厦门,厦门,0592,,石鼓路/集美学村,银江路183号,景点,海洋馆,118.091714,24.577883
江头公园,福建,厦门,厦门,0592,5503033,SM城市广场,江头西路与屿浦路交汇处东边(近喜来登酒店),景点,公园/广场,118.130661,24.495773
金榜公园,福建,厦门,厦门,0592,5535758,火车站,厦禾路与金榜路交叉口西南200米,景点,公园/广场,118.110168,24.464792
金光湖,福建,厦门,厦门,0592,7557555,同安区,莲花镇内田村河田路,景点,自然风光,117.955822,24.751164
京口岩山,福建,厦门,厦门,0592,,未来海岸,建港路,景点,自然风光,118.027214,24.457872
敬贤公园,福建,厦门,厦门,0592,6076633,石鼓路/集美学村,集美街道石鼓路176号集美大学轮机工程学院附近,景点,公园/广场,118.099213,24.578079
李林烈士纪念园,福建,厦门,厦门,0592,5318858,石鼓路/集美学村,集美街道延平楼西面,景点,纪念公园,118.104469,24.564772
莲花公园,福建,厦门,厦门,0592,5535758,莲花,凌香里7号,景点,公园/广场,118.128365,24.48564
妙清寺,福建,厦门,厦门,0592,2036357,中山路/轮渡,墙顶巷28号,景点,宗教,118.083878,24.456718
南堤公园,福建,厦门,厦门,0592,,石鼓路/集美学村,集美街道龙船路,景点,公园/广场,118.097054,24.563246
南湖公园,福建,厦门,厦门,0592,5071683,南湖公园,筼筜街道湖光路12号,景点,公园/广场,118.106333,24.478593
普光寺,福建,厦门,厦门,0592,5987170,环岛路沿线,莲前西路447号之3号,景点,宗教,118.139168,24.477781
青礁慈济宫,福建,厦门,厦门,0592,6881818,海沧区,海沧台商投资区青礁村岐山东鸣岭马青路,景点,历史建筑,117.973128,24.485914
日东公园,福建,厦门,厦门,0592,6218888,消防/日东,杏滨街道杏林日东二路288号,景点,公园/广场,118.035942,24.561152
