名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
呼和浩特博物馆,内蒙古,呼和浩特,呼和浩特,0471,6514793,八一,中山东路与呼伦贝尔南路交叉口西北角,景点,博物馆,111.676279,40.822431
内蒙古将军衙署博物院,内蒙古,呼和浩特,呼和浩特,0471,6901603;6905963,鼓楼,新华大街31号,景点,博物馆,111.686958,40.826553
内蒙古博物院,内蒙古,呼和浩特,呼和浩特,0471,4614333;4614000,万达花样时尚步行街,新华东街27号,景点,博物馆,111.738693,40.839706
内蒙古美术馆,内蒙古,呼和浩特,呼和浩特,0471,6934937,赛罕区,新华东街20号,景点,美术馆,111.744072,40.836746
内蒙古展览馆,内蒙古,呼和浩特,呼和浩特,0471,4918371,长乐宫,新华东街48号,景点,博物馆,111.719704,40.831806
大召无量寺,内蒙古,呼和浩特,呼和浩特,0471,6306166,大召,长和廊街道大召前街,景点,宗教,111.654243,40.799828
大召寺明清一条街,内蒙古,呼和浩特,呼和浩特,0471,,大召,大召寺西,景点,步行街,111.654041,40.799161
偏关黄河老牛湾景区,内蒙古,呼和浩特,清水河县,0471,4006665889,清水河县其他,老牛湾村偏关神牛庄园西侧,景点,自然风光,111.467018,39.672543
五塔寺,内蒙古,呼和浩特,呼和浩特,0471,5972640,五塔寺,五塔寺后街48号,景点,宗教,111.664533,40.799383
席力图召,内蒙古,呼和浩特,呼和浩特,0471,138****8234,大召,小召前街街道大南街112号,景点,宗教,111.656069,40.800967
清真东北寺,内蒙古,呼和浩特,呼和浩特,0471,,中山西路,商业步行街支1-2号附近,景点,宗教,111.659386,40.811192
新城清真寺,内蒙古,呼和浩特,呼和浩特,0471,,鼓楼,艺术厅南街22号,景点,宗教,111.682113,40.822303
小召寺,内蒙古,呼和浩特,呼和浩特,0471,,大召,大召寺附近,景点,宗教,111.653857,40.799547
乌素图国家森林公园,内蒙古,呼和浩特,呼和浩特,0471,3679125,回民区,生态路乌素图国家森林公园,景点,森林公园,111.584783,40.848466
白石生态旅游景区,内蒙古,呼和浩特,土默特左旗,0471,6622465,土默特左旗其他,京藏高速白石头沟大桥沟门村北,景点,自然风光,111.460607,40.784304
清真大寺,内蒙古,呼和浩特,呼和浩特,0471,,旧城北门,通道街街道通道南街28号,景点,景点/周边游,111.655634,40.809867
伊利新工业园,内蒙古,呼和浩特,土默特左旗,0471,3357288;3357388,金川开发区,金川开发区汇金道金四路8号,景点,创意园区,111.565867,40.789908
大召释迦八塔,内蒙古,呼和浩特,呼和浩特,0471,,大召,大召前街与大召西夹道,景点,宗教,111.653419,40.799114
塞上老街,内蒙古,呼和浩特,呼和浩特,0471,2942506,大召,大召西夹道与通顺街交口东10米,景点,步行街,111.654549,40.797005
盛乐古城,内蒙古,呼和浩特,和林格尔县,0471,,和林格尔县其他,土城子乡,景点,古村古镇,111.799256,40.438912
清·固伦恪靖公主府,内蒙古,呼和浩特,呼和浩特,0471,6514793,八一,通道北路62号,景点,历史建筑,111.654271,40.838676
青城公园,内蒙古,呼和浩特,呼和浩特,0471,6924128,中山西路,公园东路75号,景点,自然风光,111.666463,40.807532
满都海公园,内蒙古,呼和浩特,呼和浩特,0471,,内蒙古图书馆,乌兰察布西路68号,景点,公园/广场,111.688583,40.816246
宝尔汗佛塔,内蒙古,呼和浩特,呼和浩特,0471,,南茶坊,鄂尔多斯大街74号,景点,宗教,111.652812,40.790813
呼和浩特清真小寺,内蒙古,呼和浩特,呼和浩特,0471,,附院,通道南路友谊巷60号,景点,宗教,111.657087,40.812877
成吉思汗广场,内蒙古,呼和浩特,呼和浩特,0471,,呼和佳地,成吉思汗大街19号,景点,广场,111.672409,40.8563
园外园旅游度假山庄,内蒙古,呼和浩特,呼和浩特,0471,5100888;5100899,回民区,靠近野生动物园,景点,公园/广场,111.575829,40.901459
北极光滑雪场,内蒙古,呼和浩特,呼和浩特,0471,138****4447;153****3278,回民区,乌素图国家森林公园内,景点,滑雪场,111.579994,40.847702
太伟滑雪场,内蒙古,呼和浩特,呼和浩特,0471,2307908;2307999,新城区,保合少乡古路板村,景点,滑雪场,111.82869,40.948524
九艳旅行社,内蒙古,呼和浩特,呼和浩特,0471,6240111,南茶坊,通顺街大召社区居委会(土默特学校西门)对面,景点,旅行社,111.654617,40.795513
华联旅行社,内蒙古,呼和浩特,呼和浩特,0471,6966062,鼓楼,新华大街47号悦嘉商务汇通酒店3楼,景点,旅行社,111.683126,40.825056
桥头游园,内蒙古,呼和浩特,呼和浩特,0471,,附院,滨河路职校楼2号楼3单元（监狱管理局对面）,景点,公园/广场,111.654968,40.818382
呼和浩特市回民果园,内蒙古,呼和浩特,呼和浩特,0471,150****1480,金蓝港,光明路街道果园西路12号,景点,动植物园,111.647037,40.819417
乌素图召,内蒙古,呼和浩特,呼和浩特,0471,,回民区,京新高速公路,景点,人文古迹,111.566437,40.828506
海外国旅,内蒙古,呼和浩特,呼和浩特,0471,8903888,内蒙古图书馆,大学西街71号,景点,旅行社,111.67317,40.80602
铁道青年旅行社,内蒙古,呼和浩特,呼和浩特,0471,,火车站,郭勒北路96号附近,景点,旅行社,111.666166,40.825486
清真东大寺,内蒙古,呼和浩特,呼和浩特,0471,8815733,中山西路,东寺巷3号附近,景点,宗教,111.660439,40.808311
庆缘寺,内蒙古,呼和浩特,呼和浩特,0471,,回民区,G6京藏高速,景点,宗教,111.566021,40.828586
祥和清真寺,内蒙古,呼和浩特,呼和浩特,0471,,西龙王庙,中国内蒙古自治区呼和浩特市回民区小黑河镇大桥西100米,景点,宗教,111.641921,40.804487
伊斯兰商业步行街,内蒙古,呼和浩特,呼和浩特,0471,,附院,通道街街道温州商业步行街19号,景点,步行街,111.659739,40.811654
清真西北寺,内蒙古,呼和浩特,呼和浩特,0471,,金蓝港,果园西路10号,景点,宗教,111.644808,40.820572
扎达盖公园,内蒙古,呼和浩特,呼和浩特,0471,,回民区,通道北路与北二环快速路交汇处北侧,景点,公园/广场,111.63974,40.861588
天主教堂,内蒙古,呼和浩特,呼和浩特,0471,,万达,丁香路12号,景点,宗教,111.734422,40.841022
呼和浩特植物园,内蒙古,呼和浩特,呼和浩特,0471,3963233,牛街,环河街街道新华西街24号,景点,植物园,111.643967,40.813046
苏雅拉公园,内蒙古,呼和浩特,呼和浩特,0471,,阿尔泰,兴安北路和元利巷交汇处北400米,景点,公园/广场,111.687187,40.851692
春秋旅游,内蒙古,呼和浩特,呼和浩特,0471,8930218,桥华,大学东街99号春秋旅游,景点,旅行社,111.719165,40.817259
莲池净寺,内蒙古,呼和浩特,呼和浩特,0471,,新城区,哈拉更村北部,景点,宗教,111.74379,40.922707
金港缘旅行社,内蒙古,呼和浩特,呼和浩特,0471,,海亮,中山东路40号,景点,旅行社,111.672028,40.817036
千手千眼观音院,内蒙古,呼和浩特,呼和浩特,0471,6516127,八一,兴松街（赛马场南）,景点,宗教,111.660305,40.847507
中友旅行社,内蒙古,呼和浩特,呼和浩特,0471,4977858;4913583,摩尔城,新华东街蒙古艺术学院东10米,景点,旅行社,111.702759,40.829964
呼和浩特旅游商品研发展示中心,内蒙古,呼和浩特,呼和浩特,0471,,新城区,赛马场北路呼和浩特体育场,景点,展览馆,111.65786,40.851429
比塞塔商街,内蒙古,呼和浩特,呼和浩特,0471,,呼和佳地,成吉思汗大街阳光诺卡,景点,休闲街区,111.682411,40.855576
鸿嘉旅行社,内蒙古,呼和浩特,呼和浩特,0471,139****1252;138****0072,赛罕区,如意南路耕耘大厦,景点,旅行社,111.748703,40.838711
东河广场,内蒙古,呼和浩特,呼和浩特,0471,,新城区,阿吉泰路3号,景点,广场,111.751289,40.843567
回民区滨河公园,内蒙古,呼和浩特,呼和浩特,0471,,财经大学新校区,通道北路与成吉思汗大街交汇,景点,公园/广场,111.644196,40.854221
团结公园,内蒙古,呼和浩特,呼和浩特,0471,,新城区,团结小区东区5号楼西南方向140米,景点,公园/广场,111.725563,40.837765
北郊公园,内蒙古,呼和浩特,呼和浩特,0471,,八一,兴松街55号,景点,公园/广场,111.65495,40.845031
内蒙古革命烈士陵园,内蒙古,呼和浩特,呼和浩特,0471,6595082,新城区,北二环路岱洲营村东（呼伦贝尔北路与北二环交叉口西200米路北）,景点,烈士陵园,111.660759,40.86673
电影博物馆,内蒙古,呼和浩特,呼和浩特,0471,6632565,鼓楼,昭乌达路15号中房大厦8-10楼,景点,博物馆,111.68969,40.822422
基督教堂,内蒙古,呼和浩特,呼和浩特,0471,,新城区,幸福巷与致富巷交叉口西北200米,景点,宗教,111.674367,40.872293
内蒙国旅,内蒙古,呼和浩特,呼和浩特,0471,156****9895,鼓楼,艺术厅南街95号,景点,旅行社,111.683688,40.819012
太伟运动休闲度假村,内蒙古,呼和浩特,呼和浩特,0471,2307908,新城区,古路板村大青山脚下,景点,更多景点/周边游,111.831223,40.947334
内蒙古林科院树木园,内蒙古,呼和浩特,呼和浩特,0471,,发展小区,兴安南路54号,景点,植物园,111.712994,40.807879
鼎华园,内蒙古,呼和浩特,呼和浩特,0471,,师大,大学西路街道鄂尔多斯大街,景点,公园/广场,111.694969,40.801952
内蒙古康世达旅行社,内蒙古,呼和浩特,呼和浩特,0471,6633414,金桥,金桥四路金运家园A座3楼,景点,旅行社,111.734512,40.774094
万部华严经塔,内蒙古,呼和浩特,呼和浩特,0471,,赛罕区,东郊18公里的白塔村,景点,历史建筑,111.886617,40.83814
祥云旅行社,内蒙古,呼和浩特,呼和浩特,0471,8937347,师大,制片厂西巷4号,景点,旅行社,111.703186,40.809299
天旅假日旅行社有限责任公司,内蒙古,呼和浩特,呼和浩特,0471,150****8492,乌兰察布东街,东影南街昭君花园写字楼310,景点,旅行社,111.711391,40.822971
番茄广场,内蒙古,呼和浩特,呼和浩特,0471,,金隅时代城,腾飞路48号麦迪逊花园c2座102室,景点,公园/广场,111.763241,40.803265
如意广场,内蒙古,呼和浩特,呼和浩特,0471,,赛罕区,如意开发区四纬路8号,景点,广场,111.758598,40.831894
水上公园,内蒙古,呼和浩特,呼和浩特,0471,,玉泉区,南湖湿地公园,景点,公园/广场,111.647919,40.756634
贝尔生态旅行社,内蒙古,呼和浩特,呼和浩特,0471,139****1566,内蒙古图书馆,锡林南路盈嘉国际大厦0824室,景点,旅行社,111.675323,40.808182
白塔,内蒙古,呼和浩特,呼和浩特,0471,,赛罕区,巴彦街道河西路十七公里处万部华言经塔附近,景点,历史建筑,111.886644,40.838184
