名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
大亚国际旅行社,天津,天津,天津,022,88218821,挂甲寺,琼洲道龙海公寓11号,景点,旅行社,117.230171,39.10405
中国旅行社,天津,天津,天津,022,27122210,和平路,山东路112号,景点,旅行社,117.200359,39.123049
天津科学技术馆,天津,天津,天津,022,28306104;28320315,文化中心,隆昌路94号,景点,科技馆,117.218414,39.087326
天后宫,天津,天津,天津,022,27356424-8008,老城厢/鼓楼,古文化街80号,景点,历史建筑,117.192942,39.14331
天津文庙博物馆,天津,天津,天津,022,27275017,老城厢/鼓楼,东门内大街1号,景点,博物馆,117.189274,39.142278
元明清天妃宫遗址博物馆,天津,天津,天津,022,24313183,大直沽,大直沽中路51号（直沽地铁站E口步行480米）,景点,博物馆,117.238918,39.110165
周恩来邓颖超纪念馆,天津,天津,天津,022,23592257;81110903,南开大学/八里台,水上公园西路9号,景点,纪念馆,117.164986,39.094162
宁园旅游景区,天津,天津,天津,022,26219890;138****3861,中山路,中山北路1号,景点,园林,117.213925,39.169994
长虹生态园,天津,天津,天津,022,,长虹公园,红旗路145号,景点,动植物园,117.152409,39.133957
金钢公园,天津,天津,天津,022,26353959,中山路,中山路286号,景点,城市公园,117.191902,39.150883
南开公园,天津,天津,天津,022,,南开公园/中学,二纬路113号,景点,公园/广场,117.168999,39.132572
人民公园,天津,天津,天津,022,23240371,下瓦房,徽州道29号（下瓦房地铁站C口步行430米）,景点,城市公园,117.218191,39.105041
天津动物园,天津,天津,天津,022,60953922;23916111,水上/天塔,水上公园街道水上公园东路,景点,动物园,117.165466,39.081863
中山公园,天津,天津,天津,022,26213336,中山路,望海楼街中山公园路3号,景点,公园/广场,117.203805,39.157209
潮音寺,天津,天津,天津,022,25311882,响螺湾商圈,大沽街道潮音寺后街西沽潮音寺大街增1号,景点,宗教,117.67086,38.988239
天津大悲禅院,天津,天津,天津,022,26261769,中山路,天纬路4号,景点,宗教,117.190163,39.156067
独乐寺,天津,天津,蓟州区,022,29142904;29142907,蓟县县城/国家地质公园,城内武定街41号,景点,宗教,117.403183,40.045662
黄崖关长城,天津,天津,蓟州区,022,22718080;22718106,黄崖关长城,津围线下营镇黄崖关村,景点,历史建筑,117.448914,40.247799
吉鸿昌故居,天津,天津,天津,022,85568253,和平路,花园路5号（和平路地铁站D口步行390米）,景点,纪念馆,117.204872,39.123951
梁启超故居,天津,天津,天津,022,24450856;24450857,天津站,民族路44-46号梁启超纪念馆内（近民主道与民族路交叉口）,景点,名人故居,117.199516,39.136993
天津盘山风景名胜区,天津,天津,蓟州区,022,29828186;29821824,盘山风景名胜区,盘山风景名胜区游客中心,景点,自然风光,117.280754,40.094486
西开天主教堂,天津,天津,天津,022,27811929,滨江道,西宁道9号（近国际商场）,景点,宗教,117.194108,39.118086
袁氏旧宅,天津,天津,天津,022,185****2413,意大利风情区/火车站,海河东路39号,景点,名人故居,117.195358,39.138641
大沽口炮台遗址博物馆,天津,天津,天津,022,25232288,滨海新区,东炮台路1号,景点,博物馆,117.710507,38.979536
梨木台风景区,天津,天津,蓟州区,022,22711569;22711571,梨木台风景区,下营镇马营公路船舱峪村,景点,自然风光,117.53519,40.16696
天津博物馆,天津,天津,天津,022,83883000;83883001,文化中心,平江道62号,景点,博物馆,117.211815,39.084934
泰丰公园,天津,天津,天津,022,,经济开发区,泰华路与第四大街交口处,景点,公园/广场,117.711655,39.03557
桃花堤公园,天津,天津,天津,022,,本溪路/丁字沽,北运河南岸（中环线勤俭桥头）,景点,公园/广场,117.169632,39.182251
王串场公园,天津,天津,天津,022,,王串场/民权门,王串场街道幸福道与王串场5号路交口西侧,景点,公园/广场,117.226143,39.154488
北辰公园,天津,天津,天津,022,,北仓,发改委对面,景点,公园/广场,117.130363,39.220421
杨连弟公园,天津,天津,天津,022,,北仓,朝阳里75门501室,景点,公园/广场,117.139961,39.225643
天津热带植物观光园,天津,天津,天津,022,27948011,中北镇,中北镇飞霞路与阜锦道交口南100米,景点,植物园,117.094673,39.137924
中心公园,天津,天津,天津,022,23591242,和平路,花园路（和平路地铁站D口步行170米）,景点,公园/广场,117.204389,39.124689
天津广播电视塔,天津,天津,天津,022,23343557;4009999253,水上/天塔,天塔街卫津南路1号,景点,高空观景,117.181664,39.092953
静园,天津,天津,天津,022,27311618,鞍山道沿线,鞍山道70号（鞍山道与甘肃路交口鞍山道小学对面）,景点,历史建筑,117.189274,39.123311
土山公园,天津,天津,天津,022,,五大道,贵州路33号人民体育馆对面,景点,公园/广场,117.193504,39.108067
睦南公园,天津,天津,天津,022,,五大道,大理道,景点,公园/广场,117.199699,39.10714
紫云公园,天津,天津,天津,022,,新港,塘沽街道新港三号路与中央大道交口北30米,景点,公园/广场,117.686775,39.011562
天津水上公园,天津,天津,天津,022,23106033;23662596,水上/天塔,水上公园路48号,景点,城市公园,117.16771,39.089244
望海山临潮湖,天津,天津,天津,022,,大港城区,学府路与迎宾街交口北侧,景点,公园/广场,117.460243,38.861824
瓷房子,天津,天津,天津,022,27123366,滨江道,赤峰道72号（近和平路商业街）,景点,博物馆,117.202317,39.124784
八仙山自然保护区,天津,天津,蓟州区,022,22711033,八仙山,小港村南,景点,自然风光,117.558075,40.194386
泰达航母主题公园,天津,天津,天津,022,67288899,滨海新区,中央大道与公园路交汇口,景点,文化公园,117.812714,39.155651
空港国际汽车展览中心,天津,天津,天津,022,,空港经济区,中环西路与汽车园南路交叉口东200米,景点,展览馆,117.376077,39.157547
大亚国际旅行社,天津,天津,天津,022,182****1534,老城厢/鼓楼,东门内大街鼓楼旅游超市2楼18-19号,景点,旅行社,117.185814,39.14167
望海楼教堂,天津,天津,天津,022,,中山路,狮子林大街292号,景点,宗教,117.195145,39.147762
安家大院,天津,天津,天津,022,,杨柳青,青远路与步行街交叉口西60米（近石家大院）,景点,历史建筑,117.009949,39.135426
津河,天津,天津,天津,022,,王顶堤/华苑,红旗路与复康路交口王顶堤立交桥下,景点,自然风光,117.15107,39.099648
挂甲禅寺,天津,天津,天津,022,88267986,围堤道沿线,新围堤道1号（南北大街口）,景点,宗教,117.23735,39.09634
天子津渡遗址公园,天津,天津,天津,022,,大胡同/天津之眼,金华桥东（近大胡同）,景点,公园/广场,117.18396,39.150253
滨海新区博物馆,天津,天津,天津,022,66867035,塘沽城区,中心路988号附1号（河滨公园附近）,景点,博物馆,117.647983,39.010707
河滨公园,天津,天津,天津,022,,塘沽城区,塘沽街道中心路988号,景点,公园/广场,117.647581,39.01299
中共北方局旧址纪念馆,天津,天津,天津,022,27115679,和平路,黑龙江路隆泰里19号（和平路地铁站B口步行360米）,景点,纪念馆,117.204521,39.129971
天津之眼,天津,天津,天津,022,26288830,大胡同/天津之眼,五马路与子牙河南路交叉口东南角,景点,高空观景,117.186432,39.15403
玉龙滑雪场,天津,天津,蓟州区,022,22843333;185****5678,蓟州区其他,罗庄子镇洪水庄村南侧,景点,滑雪场,117.392082,40.109955
中山门公园,天津,天津,天津,022,,中山门,中心南道15号,景点,公园/广场,117.264244,39.106342
荐福观音寺,天津,天津,天津,022,84111444,大直沽,大直沽中路27号,景点,宗教,117.242561,39.113098
康辉旅行社,天津,天津,天津,022,,老城厢/鼓楼,鼓楼东街62号鼓楼旅游超市2楼（近新安购物中心）,景点,旅行社,117.185814,39.141674
集贤公园,天津,天津,天津,022,,北仓,集贤道（近虎林里少年儿童图书馆）,景点,公园/广场,117.131523,39.229935
翔宇公园,天津,天津,天津,022,,南开公园/中学,四马路22号（近南开中学）,景点,公园/广场,117.173553,39.131737
泥人张美术馆,天津,天津,天津,022,178****6618,大胡同/天津之眼,古文化街通庆里4号,景点,美术馆,117.191937,39.144951
