名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
北阁,广东,广州,广州,020,,石牌/龙口,黄埔大道西广州珠江新城希尔顿欢朋酒店,景点,人文古迹,113.342728,23.126736
陈树人纪念馆,广东,广州,广州,020,87782436,中山二三路/东山口,署前路10号（东山口地铁站E口步行110米）,景点,纪念馆,113.295403,23.12314
高剑父纪念馆,广东,广州,广州,020,81364905;138****1108,火车站/人民北路,盘福路朱紫街87号（距越秀公园地铁站E出口240米）,景点,纪念馆,113.261467,23.136407
广东美术馆,广东,广州,广州,020,87351468,沿江路/二沙岛,二沙岛烟雨路38号,景点,美术馆,113.307107,23.108075
蒂豪女人街,广东,广州,广州,020,81399932,上下九商业区,下九路24-28号光雅里小区旁,景点,步行街,113.246623,23.113853
东方国际旅行社,广东,广州,广州,020,86663591,火车站/人民北路,流花路120号东方商场2楼（地铁越秀公园D出口）,景点,旅行社,113.258606,23.139383
广之旅,广东,广州,广州,020,86338888,机场路沿线,乐嘉路1号四层客服中心,景点,旅行社,113.259584,23.167652
华夏国际旅行社,广东,广州,从化区,020,87926248,街口/新世纪广场,河滨南路34号,景点,旅行社,113.592022,23.542475
开元国际旅行社,广东,广州,广州,020,83851189,小北/淘金,环市东路348号市政大厦1001-1008室,景点,旅行社,113.283697,23.137127
广东铁青,广东,广州,广州,020,61251278;61281888,东风东/杨箕,中山一路98号（东山口地铁站D口步行150米）,景点,旅行社,113.297968,23.124978
中国国际旅行社,广东,广州,广州,020,86666271,东风中路/越秀公园,小北路49号华宇大厦17楼,景点,旅行社,113.27139,23.13211
西汉南越王博物馆,广东,广州,广州,020,36182920,火车站/人民北路,解放北路867号,景点,博物馆,113.261019,23.137814
仁威祖庙,广东,广州,广州,020,81705462,中山七八路,昌华街道泮塘路荔湾中学南20米,景点,宗教,113.235756,23.12336
陈家祠广场,广东,广州,广州,020,81819653,中山七八路,中山七路恩龙里34号,景点,广场,113.245262,23.126085
广东科学馆,广东,广州,广州,020,28328300,北京路商业区,连新路171号（纪念堂地铁站C口步行130米）,景点,陈列馆,113.262928,23.133522
广东省工艺美术珍品馆,广东,广州,广州,020,31952937,琶洲,新港东路2519号,景点,美术馆,113.40097,23.093704
广州博物馆,广东,广州,广州,020,83545253,东风中路/越秀公园,解放北路988号越秀公园内镇海楼,景点,博物馆,113.266953,23.137617
广州动物园,广东,广州,广州,020,38377572,环市东路/区庄,先烈中路120号,景点,动物园,113.305331,23.140869
番禺大夫山森林公园,广东,广州,广州,020,84801183,钟村,禺山西路668号,景点,森林公园,113.308936,22.950419
东山湖公园,广东,广州,广州,020,87775672;87609086,沿江路/二沙岛,东湖路123号（近二沙岛）,景点,城市公园,113.292021,23.115203
荔湾湖公园,广东,广州,广州,020,81290862;81968601,中山七八路,昌华街道龙津西路155号,景点,城市公园,113.233587,23.121222
广州市流溪河国家森林公园,广东,广州,从化区,020,87844691;87843288,良口镇,良口镇105国道旁边,景点,森林公园,113.782531,23.748214
人民公园,广东,广州,广州,020,,北京路商业区,府前路（公园前地铁站K口步行60米）,景点,城市公园,113.264352,23.12721
石门国家森林公园,广东,广州,从化区,020,87850738,白水寨/派潭,934县道温泉镇,景点,森林公园,113.788833,23.627346
广州市越秀公园,广东,广州,广州,020,86661950;83604271,东风中路/越秀公园,解放北路988号,景点,城市公园,113.265506,23.140136
珠江公园,广东,广州,广州,020,38858081,兴盛路/跑马场,石牌街道金穗路900号,景点,城市公园,113.339172,23.120123
怀圣寺,广东,广州,广州,020,83333593,中山六路,光塔路56号,景点,宗教,113.259039,23.122864
光孝寺,广东,广州,广州,020,81088867,中山六路,光孝路109号,景点,宗教,113.256598,23.129365
六榕寺,广东,广州,广州,020,83392843,中山六路,六榕路87号,景点,宗教,113.260117,23.127879
眉山圣地,广东,广州,广州,020,,市桥,市桥街道黄编村大北路雅马哈电动车东100米,景点,宗教,113.371094,22.9492
南海神庙,广东,广州,广州,020,82210927,生活区/南岗,穗东街电厂西路,景点,宗教,113.497904,23.080393
大元帅府纪念馆,广东,广州,广州,020,89012366;89012802,滨江路沿线,纺织路东沙街18号,景点,纪念馆,113.279173,23.110058
黄埔军校旧址纪念馆,广东,广州,广州,020,82201082;82201583,长洲岛,长洲街道军校路170号大院,景点,纪念馆,113.424749,23.08606
聚龙古村,广东,广州,广州,020,185****4033,芳村,芳村大冲口杏花大街,景点,古村古镇,113.240695,23.088135
农讲所旧址,广东,广州,广州,020,83333936,北京路商业区,中山四路42号（近地铁农讲所站西出口）,景点,革命旧址,113.276695,23.127101
宝墨园景区,广东,广州,广州,020,84746666,沙湾镇,沙湾镇紫坭村村南路与辅仁大街交叉口东侧,景点,园林,113.294101,22.894898
北回归线标志,广东,广州,从化区,020,,太平镇/太平商业街,广从南路440号,景点,现代建筑,113.487682,23.43932
圣心大教堂,广东,广州,广州,020,83396860,海珠广场,人民街道一德路旧部前56号,景点,宗教,113.260327,23.114502
天河飘绢,广东,广州,广州,020,81309810,天河北/广州东站,火车东站广场（近地铁广州东站站）,景点,地标建筑,113.324883,23.146622
五仙观,广东,广州,广州,020,83323508,中山六路,惠福西路233号,景点,博物馆,113.25996,23.120606
余荫山房,广东,广州,广州,020,34822187,长隆/南村,南村镇北大街,景点,园林,113.39575,23.011484
中山纪念堂,广东,广州,广州,020,83567966,东风中路/越秀公园,东风中路299号,景点,纪念公园,113.264679,23.132866
广州长隆野生动物世界,广东,广州,广州,020,4008830083,长隆/南村,汉溪大道东299号,景点,野生动物园,113.31527,23.002153
洪秀全故居,广东,广州,广州,020,36966779;36861225,花都区,如意街1号,景点,名人故居,113.172887,23.417059
白云山风景名胜区,广东,广州,广州,020,37222222,白云区,广园中路801号,景点,自然风光,113.299767,23.184265
芙蓉嶂风景区,广东,广州,广州,020,34354303,花都区,狮岭镇芙滨路,景点,自然风光,113.224525,23.50865
航天奇观,广东,广州,广州,020,,车陂/东圃,大观公园路广州思源学校(小学部)东北侧约40米,景点,科技观光,113.408748,23.149428
珠江夜游蓝海豚游船,广东,广州,广州,020,83812208;83850850,沿江路/二沙岛,沿江东路466号大沙头码头（地铁6号线东湖站B2出口，海印桥底）,景点,城市观光,113.284849,23.112524
广州莲花山旅游区,广东,广州,广州,020,84865282,石楼,西门路123号,景点,自然风光,113.503651,22.98568
帽峰山景区,广东,广州,广州,020,87464696,太和镇,高屋村和富路帽峰山景区,景点,自然风光,113.462678,23.302617
盘古王公园,广东,广州,广州,020,86846134,狮岭,狮岭镇振兴村盘古北路,景点,文化公园,113.155995,23.483674
沙面人才休闲岛,广东,广州,广州,020,81217990,沙面,沙面大街与沙面三街交叉口西南角,景点,步行街,113.244599,23.106746
云台花园,广东,广州,广州,020,37222222,麓湖公园,广园中路白云索道侧,景点,植物园,113.294429,23.159194
中国科学院华南国家植物园,广东,广州,广州,020,85232037,龙洞/岑村,天源路1190号,景点,植物园,113.36715,23.181902
广州长隆欢乐世界,广东,广州,广州,020,4008830083,长隆/南村,汉溪大道东299号,景点,主题乐园,113.32991,22.998932
海珠博物馆,广东,广州,广州,020,34384021,江南大道沿线,宝岗大道龙涎里2号邓世昌纪念馆内（南侧）,景点,博物馆,113.260406,23.101048
中华全国总工会旧址纪念馆,广东,广州,广州,020,83832587,北京路商业区,越秀南路89号（团一大广场地铁站A口步行120米）,景点,纪念馆,113.277796,23.119154
杨桃公园,广东,广州,广州,020,82564052,车陂/东圃,桃园中路7号,景点,公园/广场,113.414047,23.112406
花都人民公园,广东,广州,广州,020,36981728,花都广场/区政府,紫薇路23号,景点,城市公园,113.220375,23.408121
晓港公园,广东,广州,广州,020,84474574,江南大道沿线,江南中街道前进路146号（晓港地铁站A口步行490米）,景点,城市公园,113.280691,23.096511
花都芙蓉旅游度假村,广东,广州,广州,020,31357226,花都区,狮岭镇,景点,更多景点/周边游,113.224541,23.508768
