名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
锦里小吃一条街,四川,成都,成都,028,66311313;85538914,武侯祠,浆洗街街道武侯祠大街231号附1号,景点,夜市,104.050295,30.644895
百花潭公园,四川,成都,成都,028,87014534;87035890,青羊宫,一环路西二段175号,景点,城市公园,104.043653,30.656117
成都大熊猫繁育研究基地,四川,成都,新都区,028,83510033,熊猫基地,熊猫大道1375号,景点,动物园,104.139483,30.740105
成都动物园,四川,成都,成都,028,83516651;83519606,驷马桥/动物园,青龙街道昭觉寺南路234号（动物园地铁站A口步行260米）,景点,动物园,104.10592,30.71011
成都杜甫草堂博物馆,四川,成都,成都,028,87345202;87319258,杜甫草堂,青华路37号,景点,名人故居,104.02824,30.660167
古大圣慈寺,四川,成都,成都,028,86658341,大慈寺,大慈寺路23号,景点,宗教,104.083832,30.654253
锦里古街,四川,成都,成都,028,66311313;85538914,武侯祠,武候祠大街,景点,步行街,104.049828,30.645994
南郊公园,四川,成都,成都,028,85094509,武侯祠,浆洗街街道武侯祠大街231号武侯祠景区内,景点,公园/广场,104.045937,30.644861
彭州博物馆,四川,成都,彭州市,028,83873715,上柳河,金彭西路403号,景点,博物馆,103.928909,30.987459
青羊宫,四川,成都,成都,028,87766584,青羊宫,一环路西二段9号,景点,宗教,104.042633,30.661469
石经寺,四川,成都,成都,028,84810242,龙泉驿区,318国道山泉镇石经村,景点,宗教,104.348061,30.502283
四川美术馆,四川,成都,成都,028,86636302;86698236,人民公园,西御河街道人民西路6号（天府广场地铁站西1北口步行240米）,景点,美术馆,104.061952,30.658716
四川省文化馆,四川,成都,成都,028,87792756;87784305,营门口,营门口路4号,景点,展览馆,104.044083,30.681787
成都武侯祠博物馆,四川,成都,成都,028,87198667,武侯祠,武侯祠大街231号,景点,博物馆,104.048042,30.646208
西南民族学院民族博物馆,四川,成都,成都,028,,高升桥,一环路南四段16号,景点,博物馆,104.049156,30.63946
现代艺术馆,四川,成都,成都,028,,沙湾会展中心,金沙路,景点,美术馆,104.049065,30.691954
新华公园,四川,成都,成都,028,84311643,双林路,新鸿路街道双林路87号,景点,城市公园,104.105637,30.656338
成都市植物园,四川,成都,新都区,028,83583439,三河场,三河街道蓉都大道天回路1116号,景点,植物园,104.130039,30.764422
四川大学-博物馆,四川,成都,成都,028,85412451,科华北路,一环路南一段24号,景点,博物馆,104.091026,30.63583
望江楼公园,四川,成都,成都,028,85582907,九眼桥,望江路街道望江路300号九眼桥锦江南岸（近四川大学东门）,景点,城市公园,104.092232,30.629179
黄龙溪古镇,四川,成都,双流区,028,62157666;62158555,黄龙溪,皇金路70号,景点,古村古镇,103.969951,30.317562
文殊院,四川,成都,成都,028,86930623;86662375,北门大桥,文殊院街66号,景点,宗教,104.072494,30.67543
都江堰景区,四川,成都,都江堰市,028,96526,玉垒山公园,公园路,景点,古代遗迹,103.609041,31.001596
四川建川博物馆聚落,四川,成都,大邑县,028,88318000;88319000,安仁古镇/博物馆,安仁古镇迎宾路二段550号,景点,博物馆,103.619706,30.500383
棠湖公园,四川,成都,双流区,028,85803025,东升镇,东升街道棠湖西路一段2号,景点,公园/广场,103.918511,30.570321
