名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
地下酷酷街,浙江,杭州,杭州,0571,,武林广场,武林路102号（近龙游路）,景点,步行街,120.161151,30.261631
开明画院,浙江,杭州,杭州,0571,136****8885,吴山广场/河坊街,大井巷98号（胡庆余堂博物馆对面）,景点,美术馆,120.169317,30.239948
朱加英书画艺术馆,浙江,杭州,临安,0571,63736358,青山湖景区,圣园路北50米,景点,美术馆,119.767757,30.237257
杭州长客旅行社,浙江,杭州,杭州,0571,87011669;87034496,湖滨/解百商厦,青年路7号,景点,旅行社,120.168463,30.248153
东航旅行社,浙江,杭州,杭州,0571,86591924,龙井/虎跑,九溪路13号,景点,旅行社,120.117032,30.187832
光大国际旅行社,浙江,杭州,杭州,0571,56773500,高新文教区,马塍路3号2楼200室,景点,旅行社,120.130938,30.275158
杭州海外旅游有限公司,浙江,杭州,杭州,0571,87709807,南山路/柳浪闻莺/美术学院,西湖大道239号耀江广厦B座8楼（近定安路）,景点,旅行社,120.166035,30.245605
杭州大厦旅行社,浙江,杭州,杭州,0571,87828755,城站火车站/浙二医院,建国南路168号供水大厦东侧,景点,旅行社,120.179881,30.241761
集锦旅游服务,浙江,杭州,杭州,0571,87033656,吴山广场/河坊街,惠民路70号2单元202室,景点,旅行社,120.167137,30.24277
锦江假日旅行社,浙江,杭州,杭州,0571,151****9524,吴山广场/河坊街,劳动路164-4号,景点,旅行社,120.162822,30.245102
开元国旅,浙江,杭州,杭州,0571,82625888;4000089555,城厢,市心南路146号,景点,旅行社,120.267248,30.160626
青旅国内旅行社,浙江,杭州,杭州,0571,87035617,南山路/柳浪闻莺/美术学院,南山路144-1号（海底世界对面）,景点,旅行社,120.156575,30.233877
上海春秋旅行社,浙江,杭州,杭州,0571,85157555,湖墅南路,湖墅南路14号,景点,旅行社,120.156987,30.273857
西子旅行社,浙江,杭州,杭州,0571,,西湖北线/黄龙,灵隐路2号（近杨公堤）,景点,旅行社,120.129034,30.253204
萧山旅行社,浙江,杭州,杭州,0571,82627181,城厢,城河街11-108号五层,景点,旅行社,120.266005,30.163434
耀江旅行社,浙江,杭州,杭州,0571,4000571530,朝晖地区,潮王路19-2号,景点,旅行社,120.168011,30.290141
