名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
漓江景区,广西,桂林,灵川县,0773,8287688,灵川县其他,磨盘山客运港码头,景点,自然风光,110.431659,25.148242
西街,广西,桂林,阳朔县,0773,8811989,益田西街,西街步行街,景点,步行街,110.49579,24.775847
南溪山景区,广西,桂林,桂林,0773,3838989;3813399,桂林站,平山街道中山南路2号（近将军路）,景点,自然风光,110.287369,25.24958
桂林独秀峰王城景区,广西,桂林,桂林,0773,2851941;2803149,中心广场/两江四湖,王城1号,景点,自然风光,110.299137,25.281705
桂林两江四湖景区,广西,桂林,桂林,0773,8980066;2821199,中心广场/两江四湖,桂林两江四湖景区,景点,自然风光,110.294586,25.267811
伏波山景区,广西,桂林,桂林,0773,2100680;2100660,中心广场/两江四湖,叠彩街道龙珠路2号,景点,自然风光,110.303825,25.282951
阳朔月亮山风景区,广西,桂林,阳朔县,0773,8776078,十里画廊,高田乡凤楼村,景点,自然风光,110.472716,24.725825
灵渠景区,广西,桂林,兴安县,0773,6998888,兴安县中心城区,双灵路,景点,自然风光,110.684738,25.598847
象鼻山景区,广西,桂林,桂林,0773,2582112;2235151,象山公园,民主路1号,景点,自然风光,110.294464,25.267813
桂林七星景区,广西,桂林,桂林,0773,5814343;5812174,会展中心/甲天下广场,漓江东岸七星路1号(近龙隐小学),景点,自然风光,110.31339,25.27183
叠彩山景区,广西,桂林,桂林,0773,2100680;2800318,北极广场,叠彩街道龙珠路2号,景点,自然风光,110.301369,25.289791
九马画山,广西,桂林,阳朔县,0773,,兴坪古镇/阳朔高铁站,西北4公里,景点,自然风光,110.487495,24.917843
崇善路清真寺,广西,桂林,桂林,0773,,西城路步行街,崇善路1号,景点,宗教,110.287392,25.272158
银子岩景区,广西,桂林,荔浦市,0773,7133582;2387668,荔浦市,马岭镇沿321国道向北10公里,景点,自然风光,110.438913,24.637548
世外桃源,广西,桂林,阳朔县,0773,2851066;2851088,阳朔县其他,白沙镇321国道,景点,自然风光,110.388536,24.863283
恭城文庙,广西,桂林,恭城瑶族自治县,0773,8221188,恭城县区,拱辰西路4号,景点,宗教,110.827345,24.831845
十里画廊,广西,桂林,阳朔县,0773,6978961,十里画廊,广成线与321国道交叉口东侧,景点,自然风光,110.492176,24.740091
漓江冠岩景区,广西,桂林,桂林,0773,3848899,雁山区,草坪乡草坪街,景点,自然风光,110.454308,25.053173
大圩古镇,广西,桂林,灵川县,0773,2880180,大圩镇,临江路250号,景点,古村古镇,110.423373,25.185744
大榕树,广西,桂林,阳朔县,0773,8822125,十里画廊,321国道附近,景点,自然风光,110.486153,24.731634
榕杉湖景区,广西,桂林,桂林,0773,,中心广场/两江四湖,榕湖南路14号,景点,自然风光,110.29026,25.27503
桂林市区水上游,广西,桂林,桂林,0773,189****1007,理工大学屏风校区,木龙古渡码头（桂林市美术馆北侧）,景点,旅行社,110.303652,25.275606
能仁禅寺,广西,桂林,桂林,0773,2852520,中心广场/两江四湖,丽君路6号,景点,宗教,110.286446,25.279526
西城路步行街,广西,桂林,桂林,0773,,阳桥,象山街道中山中路6号,景点,步行街,110.289757,25.270834
桂林丹霞·八角寨景区,广西,桂林,资源县,0773,4485508;173****2569,八角寨风景区,大坨村,景点,自然风光,110.729266,26.274045
天籁·蝴蝶泉,广西,桂林,阳朔县,0773,8811466,十里画廊,阳朔镇321国道十里画廊内,景点,自然风光,110.493708,24.73816
隐山风景区,广西,桂林,桂林,0773,,西山公园,西山公园内（东南角）,景点,自然风光,110.281548,25.280689
刘三姐大观园,广西,桂林,桂林,0773,2891738,西山公园,甲山街道桃花江路1号（近西山路）,景点,纪念公园,110.269492,25.280663
福利古镇,广西,桂林,阳朔县,0773,,阳朔县其他,福利镇正东街168号,景点,古村古镇,110.556867,24.778879
康辉国际旅行社,广西,桂林,桂林,0773,133****7916,北极广场,中山中路10号,景点,旅行社,110.298657,25.289515
桂林国泰国际旅行社,广西,桂林,桂林,0773,5837776,广西师大/三里店广场,三里店广场育才大厦12-3,景点,旅行社,110.319791,25.261211
全州天湖,广西,桂林,全州县,0773,182****8168,全州县其他,天湖水库,景点,自然风光,110.874982,26.135469
桂林盛景国际旅游有限公司,广西,桂林,桂林,0773,181****6339,万达广场,骖鸾路33号盛景中心三层,景点,旅行社,110.31973,25.24889
虞山公园,广西,桂林,桂林,0773,2626645,北极广场,中山北路70号,景点,园林,110.301476,25.299007
阳朔公园,广西,桂林,阳朔县,0773,8822481,西街,城内碧莲峰东麓叠翠路,景点,公园/广场,110.48999,24.776146
甲天下广场,广西,桂林,桂林,0773,5869502,会展中心/甲天下广场,漓江路与漓江路一巷交叉口北140米,景点,广场,110.308899,25.261131
芦笛景区,广西,桂林,桂林,0773,2210889,芦笛岩/桃花江景区,芦笛路1号,景点,自然风光,110.272409,25.309965
日月双塔文化公园,广西,桂林,桂林,0773,2582888,中心广场/两江四湖,文明路附近,景点,文化公园,110.295242,25.271898
刘三姐故居,广西,桂林,阳朔县,0773,,十里画廊,穿岩村大榕树景区内,景点,纪念馆,110.48542,24.730371
木龙湖景区,广西,桂林,桂林,0773,2231625;181****8080,北极广场,叠彩街道中山北路30号,景点,自然风光,110.300613,25.2915
中心广场,广西,桂林,桂林,0773,7790088,中心广场/两江四湖,中山中路与依仁路,景点,广场,110.295944,25.275057
三花酒文化博物馆,广西,桂林,桂林,0773,3895533,西城路步行街,民主路52号,景点,博物馆,110.294617,25.266636
海洋村,广西,桂林,灵川县,0773,180****2721,海洋乡银杏,海洋乡,景点,特色乡村,110.567162,25.306231
阳朔旅游港,广西,桂林,阳朔县,0773,,西街周边/抗战路,观莲路1号,景点,旅行社,110.496715,24.772515
猫儿山,广西,桂林,兴安县,0773,6210219;6098601,猫儿山景区,华江瑶族乡高寨村,景点,自然风光,110.486074,25.855965
兴安水街,广西,桂林,兴安县,0773,,志玲路,三台路兴安外国语实验学校西北侧约170米,景点,步行街,110.67368,25.61094
徐悲鸿故居,广西,桂林,阳朔县,0773,8827922,西街,县前街3号,景点,纪念馆,110.496887,24.777719
訾洲岛·观象山,广西,桂林,桂林,0773,5636238,会展中心/甲天下广场,穿山路与龙隐路交叉口西南350米（近解放桥、龙隐桥）,景点,自然风光,110.30069,25.268852
荔江湾景区,广西,桂林,荔浦市,0773,7126388,荔浦市,青山镇X158与Y757交叉口西南方向200米,景点,自然风光,110.332321,24.441818
大岭山桃园,广西,桂林,恭城瑶族自治县,0773,,恭城瑶族自治县其他,西岭乡大岭山屯,景点,更多景点/周边游,110.791337,24.912937
靖江王陵,广西,桂林,桂林,0773,8994317;5893200,七星区,靖江路1号,景点,古代遗迹,110.365413,25.292258
炎井温泉,广西,桂林,全州县,0773,6969899,全州县其他,201乡道南150米,景点,温泉,110.959222,26.312698
乳洞岩,广西,桂林,兴安县,0773,,兴安县其他,兴安镇,景点,自然风光,110.62511,25.57106
龙脊梯田,广西,桂林,龙胜各族自治县,0773,7583188;7583088,龙胜各族自治县其他,龙脊镇龙脊梯田风景区,景点,自然风光,110.16351,25.804944
榕津古镇,广西,桂林,平乐县,0773,,平乐县其他,张家镇榕津村,景点,古村古镇,110.855097,24.613434
狮龙山,广西,桂林,阳朔县,0773,,阳朔县其他,狮龙村下莫滩南岸,景点,自然风光,110.529335,24.769623
青狮潭,广西,桂林,灵川县,0773,,青狮潭水库景区,112县道,景点,自然风光,110.190437,25.486771
黄洛红瑶寨,广西,桂林,龙胜各族自治县,0773,7583188,龙胜各族自治县中心城区,和大线,景点,古村古镇,110.13105,25.745392
兴坪渔村景区,广西,桂林,阳朔县,0773,189****1007,兴坪古镇/阳朔高铁站,兴坪码头附近,景点,自然景观,110.526733,24.916775
永宁州古城,广西,桂林,永福县,0773,,永福县其他,S306,景点,古村古镇,109.779786,25.166592
李宗仁故居,广西,桂林,桂林,0773,5300061,临桂区,两江镇浪头村天马山脚下,景点,纪念馆,110.001167,25.168278
观音洞,广西,桂林,兴安县,0773,,兴安县其他,冠长线,景点,自然风光,110.80499,25.463134
佛光岩,广西,桂林,桂林,0773,,西山公园,桃花江路6号,景点,宗教,110.268677,25.284182
广西科举贡院,广西,桂林,桂林,0773,2807622,中心广场/两江四湖,王城路靖江王府内,景点,历史建筑,110.298973,25.284111
海底龙宫,广西,桂林,兴安县,0773,6182333,兴安县其他,漠川乡,景点,自然风光,110.8049,25.46487
红溪景区,广西,桂林,桂林,0773,2818000,临桂区,中庸镇怡乐村红溪原生态景区,景点,自然风光,110.09726,25.459215
留公三色潭,广西,桂林,阳朔县,0773,7788989,阳朔县其他,064乡道北50米,景点,人文古迹,110.582691,24.736371
平等鼓楼群吴氏鼓楼,广西,桂林,龙胜各族自治县,0773,,龙胜各族自治县其他,平等鼓楼,景点,人文古迹,109.92849,26.051963
舍利塔,广西,桂林,桂林,0773,,象山公园,民主路15号,景点,历史建筑,110.292114,25.267164
中庸莲花岛,广西,桂林,桂林,0773,5443268,临桂区,中庸镇穴田上观村321国道旁250米,景点,自然风光,110.083826,25.448499
永福岩,广西,桂林,永福县,0773,3231888,永福县其他,罗锦镇金钟山旅游度假区内,景点,自然风光,110.146062,24.969821
滨江公园,广西,桂林,荔浦市,0773,,滨江路,滨江南路18号,景点,公园/广场,110.393364,24.484251
凤山公园,广西,桂林,永福县,0773,,永福县中心城区,凤城路115号正西方向120米,景点,公园/广场,109.984933,24.98444
广西资源国家地质公园,广西,桂林,资源县,0773,,资江漂流景区,202省道附近,景点,公园/广场,110.662437,26.05591
桂北人民武装斗争纪念碑园,广西,桂林,灵川县,0773,,西环路,石狮路9号城关第二小学附近,景点,纪念地,110.325141,25.397281
桂林市基督教堂,广西,桂林,桂林,0773,2822604,中心广场/两江四湖,中山中路50号,景点,宗教,110.297401,25.283445
会仙岩景区,广西,桂林,桂林,0773,,广西师大/三里店广场,七星区街道会仙路6号,景点,自然风光,110.317398,25.266972
金瑞鸵鸟生态园,广西,桂林,灵川县,0773,150****7799,灵川县其他,大圩古镇石家渡村,景点,动植物园,110.403042,25.179287
刘三姐茶园景区,广西,桂林,桂林,0773,5422222,临桂区,321国道,景点,更多景点/周边游,110.093132,25.362965
龙胜森林公园,广西,桂林,龙胜各族自治县,0773,7482319,龙胜各族自治县其他,桂林龙胜温泉旅游度假区,景点,森林公园,110.201897,25.883493
杉湖风景区,广西,桂林,桂林,0773,2858822,阳桥,杉湖北路1号,景点,自然风光,110.294983,25.272543
湘山寺,广西,桂林,全州县,0773,4811384,全州县中心城区,全州镇桂黄中路66号,景点,宗教,111.06133,25.934758
雪狼湖山庄,广西,桂林,桂林,0773,,临桂区,三二一国道（羲江缘景区对面）,景点,更多景点/周边游,110.078188,25.407468
杨柳界森林公园,广西,桂林,灵川县,0773,,灵川县其他,九屋镇114县道东100米,景点,森林公园,110.251266,25.615036
遇龙源景区大绿水综合码头,广西,桂林,荔浦市,0773,189****7071,荔浦市,马岭镇马青线,景点,城市观光,110.418816,24.61042
平乐中山公园,广西,桂林,平乐县,0773,7895522,正西街,平乐镇中华街63号,景点,公园/广场,110.644988,24.633656
灵川县人民会堂,广西,桂林,灵川县,0773,6812316,西环路,太阳雨美容院灵西路8号,景点,景点/周边游,110.325055,25.412161
宝鼎瀑布,广西,桂林,资源县,0773,4436708,资源县其他,资源镇,景点,自然风光,110.699202,26.036079
龙门瀑布景区,广西,桂林,灵川县,0773,6562819,灵川县其他,青狮潭镇东源村委畔头村旁,景点,自然风光,110.214351,25.712001
榕津千年古榕群,广西,桂林,平乐县,0773,,平乐县其他,张家镇,景点,自然风光,110.853773,24.615729
高万通矿物标本科普博物馆,广西,桂林,桂林,0773,,万福广场,平山北路9号城市便捷酒店,景点,博物馆,110.300896,25.222786
桂海碑林博物馆,广西,桂林,桂林,0773,5814210;5814464,七星公园,龙隐路1号,景点,博物馆,110.30564,25.27093
桂林博物馆,广西,桂林,桂林,0773,2898690;2897308,临桂区,平桂西路一院两馆旁,景点,博物馆,110.164612,25.245371
桂林画院,广西,桂林,桂林,0773,3902889,红街商业街,龙船坪路173号,景点,美术馆,110.2911,25.249817
广西省立艺术馆,广西,桂林,桂林,0773,2883088,中心广场/两江四湖,解放西路15号,景点,美术馆,110.291702,25.279081
桂林市展览馆,广西,桂林,桂林,0773,5812887,理工大学屏风校区,自由路2号,景点,展览馆,110.307869,25.275988
何信纪念馆,广西,桂林,桂林,0773,,中心广场/两江四湖,三多路6号,景点,纪念馆,110.294335,25.277365
漓江画院,广西,桂林,桂林,0773,,阳桥,正阳路7号,景点,美术馆,110.297897,25.275167
桂协国际旅游社,广西,桂林,桂林,0773,186****3003,中心广场/两江四湖,中山路39号南方大厦9-7,景点,旅行社,110.295471,25.279041
荔浦丰鱼岩景区,广西,桂林,荔浦市,0773,6984009;6988999,荔浦市,龙怀乡丰鱼岩旅游度假区,景点,自然风光,110.348155,24.393111
康辉旅行社,广西,桂林,桂林,0773,137****1827,联达商业广场,中山南路33号惠龙城1楼1-3号,景点,旅行社,110.283621,25.258711
和谐国际旅行社,广西,桂林,桂林,0773,130****9745,中心广场/两江四湖,叠彩路4号,景点,旅行社,110.301432,25.287982
园林植物园,广西,桂林,桂林,0773,3835348;3829099,联达商业广场,环城西一路117号,景点,植物园,110.276207,25.252861
