名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
中国地质大学逸夫博物馆,湖北,武汉,武汉,027,67848584,光谷/鲁巷,关山街道鲁磨路338号中国地质大学,景点,博物馆,114.400475,30.517567
八路军武汉办事处旧址纪念馆,湖北,武汉,武汉,027,82735576,解放公园/武汉天地,汉口长春街57号（近武汉天地）,景点,纪念馆,114.309424,30.606181
武汉二七纪念馆,湖北,武汉,武汉,027,82934390,百步亭/二七,解放大道2499号（徐州新村地铁站B口步行450米）,景点,纪念馆,114.324158,30.634832
八七会议会址纪念馆,湖北,武汉,武汉,027,82835088,客运港/江滩,一元街道鄱阳街139号,景点,纪念馆,114.299934,30.586643
武汉博物馆,湖北,武汉,武汉,027,85601377;85601720,汉口火车站,汉口青年路373号,景点,博物馆,114.256445,30.611431
国民政府旧址纪念馆,湖北,武汉,武汉,027,85663790,江汉路步行街,中山大道708号3层（六渡桥地铁站B口步行240米）,景点,纪念馆,114.286736,30.575817
湖北省博物馆,湖北,武汉,武汉,027,86790329;86794127,岳家嘴/东亭,东湖路160号,景点,博物馆,114.365494,30.561556
中共五大会址纪念馆,湖北,武汉,武汉,027,88850322,司门口,都府堤20号,景点,纪念馆,114.298454,30.550938
汉阳莲花湖公园,湖北,武汉,武汉,027,,汉阳大道,建桥街道汉阳大道2号,景点,公园/广场,114.278415,30.55092
宝岛公园,湖北,武汉,武汉,027,,港澳台风情街,台北二路82号附近,景点,公园/广场,114.284317,30.59783
解放公园,湖北,武汉,武汉,027,82421760,解放公园/武汉天地,解放大道1861号,景点,公园/广场,114.298748,30.608265
武汉江滩人民乐园,湖北,武汉,武汉,027,82774567,客运港/江滩,沿江大道江汉门（武汉科技馆旁）,景点,广场,114.316274,30.606647
常青公园,湖北,武汉,武汉,027,,常青花园,常青路149号旁（近常青人才公园中央商业街）,景点,公园/广场,114.238325,30.619706
堤角公园,湖北,武汉,武汉,027,82306102,新荣/堤角,解放大道2060号（近轻轨1号线堤角站）,景点,公园/广场,114.338486,30.661633
中山公园,湖北,武汉,武汉,027,85607776;85807312,万松园,解放大道1265号（武汉协和医院武广武展地铁2号线）,景点,城市公园,114.271516,30.586831
硚口公园,湖北,武汉,武汉,027,83785398,硚口路,中山大道45号,景点,公园/广场,114.256912,30.570408
白玉公园,湖北,武汉,武汉,027,86414464,武钢厂区/武东,青化路附近,景点,公园/广场,114.49048,30.598805
南干渠游园,湖北,武汉,武汉,027,,八大家/红钢城,工业一路与随州街交叉口东北150米,景点,城市公园,114.396594,30.626011
青山公园,湖北,武汉,武汉,027,86863048,八大家/红钢城,和平大道1546号,景点,公园/广场,114.408028,30.638607
武汉东湖海洋世界,湖北,武汉,武汉,027,86772929,东湖风景区,沿湖大道20号,景点,海洋馆,114.379604,30.574128
九峰森林动物园,湖北,武汉,武汉,027,87639013;87639763,光谷/东湖高新区,九峰狮子峰特1号,景点,动物园,114.492523,30.500324
武昌江滩,湖北,武汉,武汉,027,88603989,余家头/四美塘,徐家棚街道临江大道,景点,广场,114.323151,30.588381
首义园小吃街,湖北,武汉,武汉,027,,首义汇/阅马场,彭刘杨路245号（彭刘杨地铁站A口步行340米）,景点,步行街,114.304006,30.539026
东湖吹笛景区,湖北,武汉,武汉,027,87804351,光谷/鲁巷,马鞍山森林公园南大门,景点,森林公园,114.446877,30.519598
洪山公园,湖北,武汉,武汉,027,87892480,中南路/洪山广场,武珞路509号,景点,公园/广场,114.344063,30.534077
首义公园,湖北,武汉,武汉,027,,中南路/洪山广场,武珞路47号,景点,公园/广场,114.31318,30.541892
东湖飞鸟世界,湖北,武汉,武汉,027,86772929,岳家嘴/东亭,沿湖大道20号（梨园广场左侧）,景点,动物园,114.376465,30.574085
龙泉山生态园,湖北,武汉,武汉,027,,东西湖区,流芳镇北麓三汊港,景点,动植物园,113.955558,30.741592
汤湖公园,湖北,武汉,武汉,027,157****5739,沌口,兴华路1号,景点,公园/广场,114.165359,30.466997
杨柳堤江滩公园,湖北,武汉,武汉,027,,蔡甸城区,蔡江路25号,景点,公园/广场,114.033028,30.590208
晴川阁,湖北,武汉,武汉,027,84710887,琴台,洗马长街86号,景点,人文古迹,114.28479,30.55555
归元禅寺,湖北,武汉,武汉,027,84844756,钟家村,建桥街道归元寺路20号,景点,宗教,114.259055,30.545249
龟山风景区,湖北,武汉,武汉,027,84713530,钟家村,龟山北路5号,景点,自然风光,114.275169,30.555061
墨水湖,湖北,武汉,武汉,027,,汉阳大道,武汉动物园旁,景点,自然风光,114.215335,30.549112
月湖风景区,湖北,武汉,武汉,027,,汉阳大道,琴台大道200号,景点,自然风光,114.257767,30.557165
卓刀泉寺,湖北,武汉,武汉,027,87521752,卓刀泉/虎泉,卓刀泉路27号,景点,宗教,114.368851,30.516356
詹天佑故居博物馆,湖北,武汉,武汉,027,82844493,客运港/江滩,汉口洞庭街65号,景点,博物馆,114.299426,30.585206
古德寺,湖北,武汉,武汉,027,82907553,解放公园/武汉天地,黄浦大街工农兵路74号,景点,宗教,114.307424,30.618716
汉口辛亥首义烈士陵园,湖北,武汉,武汉,027,82410639,港澳台风情街,汉口球场路2号,景点,烈士陵园,114.294342,30.597483
宋庆龄汉口旧居纪念馆,湖北,武汉,武汉,027,82296617,客运港/江滩,沿江大道162号,景点,名人故居,114.302329,30.586508
京汉铁路总工会旧址,湖北,武汉,武汉,027,82901914,百步亭/二七,解放大道2185号,景点,古代遗迹,114.3178,30.624474
长春观,湖北,武汉,武汉,027,88842090,石牌岭/街道口,首义路街道武珞路269号（近武昌大东门),景点,宗教,114.320824,30.54022
九女墩,湖北,武汉,武汉,027,86773706,东湖风景区,东湖路特1号东湖风景区内,景点,人文古迹,114.383022,30.581041
毛泽东同志旧居,湖北,武汉,武汉,027,88850322,司门口,都府堤路41号,景点,名人故居,114.299294,30.551012
中共中央农民运动讲习所旧址,湖北,武汉,武汉,027,88850322,司门口,红巷30号,景点,纪念地,114.30027,30.553591
洪山宝塔,湖北,武汉,武汉,027,84843543,中南路/洪山广场,武珞路549号宝通禅寺,景点,历史建筑,114.341759,30.533569
施洋烈士陵园,湖北,武汉,武汉,027,87641163,中南路/洪山广场,武珞路509号,景点,烈士陵园,114.336868,30.532694
中央军事政治学校旧址,湖北,武汉,武汉,027,,首义汇/阅马场,解放路259号（原两湖书院内）,景点,古代遗迹,114.296631,30.539671
黄鹤楼,湖北,武汉,武汉,027,88875096,首义汇/阅马场,西山坡特1号,景点,历史建筑,114.302568,30.54462
