名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
陨石山自然保护区,辽宁,沈阳,沈阳,024,,浑南区,李相镇至姚千户镇,景点,自然风光,123.612121,41.646631
将军公园,辽宁,沈阳,沈阳,024,,北陵,北陵大街45-9号,景点,公园/广场,123.433132,41.834437
护国法轮寺,辽宁,沈阳,沈阳,024,,北陵,北塔街27号,景点,宗教,123.451363,41.830273
辽宁美术馆,辽宁,沈阳,沈阳,024,23848981,南湖公园/三好街,彩塔街38号工业展览馆,景点,美术馆,123.432684,41.773964
辽宁电视塔,辽宁,沈阳,沈阳,024,23936210,南湖公园/三好街,彩塔街1号,景点,高空观景,123.434189,41.782337
长安寺,辽宁,沈阳,沈阳,024,24847440,中街/故宫,皇城街道朝阳街长安寺巷6号（中街地铁站B1口步行180米）,景点,宗教,123.461633,41.803219
张学良旧居,辽宁,沈阳,沈阳,024,24850576;24842454,中街/故宫,朝阳街少帅府巷46号,景点,博物馆,123.457795,41.794051
百鸟公园,辽宁,沈阳,沈阳,024,,北行/辽大,崇山中路66号辽宁大学对面(近宁山路)百鸟园附近,景点,公园/广场,123.402395,41.829671
般若寺,辽宁,沈阳,沈阳,024,24812434,五爱市场,大南街般若寺巷8号,景点,宗教,123.459231,41.782456
慈恩寺,辽宁,沈阳,沈阳,024,24130182,五爱市场,大南街慈恩寺巷12号,景点,宗教,123.460564,41.783492
沈阳世博园,辽宁,沈阳,沈阳,024,88038035;88038036,世博园,双园路301号,景点,植物园,123.649387,41.862263
沈阳皇寺,辽宁,沈阳,沈阳,024,22531709,西塔/北市场,北三经街沈阳宾馆后面（皇寺街）,景点,宗教,123.427887,41.807164
太平寺,辽宁,沈阳,沈阳,024,,西塔/北市场,皇寺路太平里21号,景点,宗教,123.426279,41.807926
中共满洲省委旧址,辽宁,沈阳,沈阳,024,22724485,北站/市府,皇寺路福安巷3号,景点,革命旧址,123.424578,41.807729
青年公园,辽宁,沈阳,沈阳,024,23892220,奉天街沿线,青年大街111号（近文艺路）,景点,公园/广场,123.439229,41.780838
建设公园,辽宁,沈阳,沈阳,024,,重工街沿线,肇工北街108号（近建设西路）,景点,公园/广场,123.337581,41.806137
沈阳国家森林公园,辽宁,沈阳,沈阳,024,89778333,浑南区,马刚乡老寺沟,景点,森林公园,123.723335,42.021531
辉山风景区,辽宁,沈阳,沈阳,024,88750531,浑南区,辉山风景区内（东站）,景点,自然风光,123.654318,41.926968
体育公园,辽宁,沈阳,沈阳,024,,太原街,南三马路61号,景点,公园/广场,123.402795,41.783399
中山公园,辽宁,沈阳,沈阳,024,23456010,太原街,南京南街7号,景点,公园/广场,123.406237,41.785476
棋盘山冰雪大世界,辽宁,沈阳,沈阳,024,4000149996,浑南区,观棋路棋盘山国际旅游风景区内,景点,滑雪场,123.692363,41.937493
沈水湾公园,辽宁,沈阳,沈阳,024,157****6767,浑南新区,青年大街111号,景点,城市公园,123.418686,41.753296
长青公园,辽宁,沈阳,沈阳,024,24214361,长青街,泉园二路85号,景点,公园/广场,123.479069,41.77231
八一公园,辽宁,沈阳,沈阳,024,22829632,西塔/北市场,三纬路18号,景点,公园/广场,123.424582,41.802366
仙女湖公园,辽宁,沈阳,沈阳,024,,重工街沿线,沈辽西路17号,景点,公园/广场,123.335816,41.777287
辉山水库,辽宁,沈阳,沈阳,024,,大东区,沈铁公路,景点,现代建筑,123.515617,41.861609
无垢净光舍利塔,辽宁,沈阳,沈阳,024,,塔湾,塔湾街15巷45号,景点,历史建筑,123.380464,41.835144
北陵公园,辽宁,沈阳,沈阳,024,86901330,北陵,泰山路12号,景点,历史建筑,123.428888,41.851933
克俭公园,辽宁,沈阳,沈阳,024,,皇姑区,阿里山路8号,景点,公园/广场,123.404867,41.809783
万柳塘公园,辽宁,沈阳,沈阳,024,24144259,文艺路/文化路,先农坛路17巷,景点,公园/广场,123.464817,41.78053
沈阳“九·一八”历史博物馆,辽宁,沈阳,沈阳,024,88338981,东站,望花南街46号（望花南街）,景点,博物馆,123.467537,41.836349
南塔公园,辽宁,沈阳,沈阳,024,,文艺路/文化路,文萃路（近文萃苑）,景点,公园/广场,123.453304,41.765816
朱尔水库,辽宁,沈阳,沈阳,024,,大东区,文官街道先进街与文东街交叉口东北50米,景点,自然景观,123.492057,41.889797
龙王庙公园,辽宁,沈阳,沈阳,024,,南湖公园/三好街,文体西路107号,景点,公园/广场,123.404417,41.763695
鲁迅儿童公园,辽宁,沈阳,沈阳,024,23892744,南湖公园/三好街,文艺路2号方形广场（近东北设计院）,景点,公园/广场,123.423928,41.776511
南运河,辽宁,沈阳,沈阳,024,,小河沿,管城二街与小河沿路交叉口附近,景点,更多景点/周边游,123.478355,41.791672
科普公园,辽宁,沈阳,沈阳,024,,五里河,五里河街道五爱街52号（近文体东路）,景点,公园/广场,123.439971,41.761816
鲁迅公园,辽宁,沈阳,沈阳,024,,南市/马路湾,西滨河路6号,景点,公园/广场,123.421487,41.779203
大东公园,辽宁,沈阳,沈阳,024,,黎明广场,长安路85号,景点,公园/广场,123.496336,41.795649
清真南寺,辽宁,沈阳,沈阳,024,22726760,奉天街沿线,南清真路23号,景点,宗教,123.439468,41.802514
黎明公园,辽宁,沈阳,沈阳,024,,黎明广场,东塔街道珠林路63号,景点,公园/广场,123.505701,41.811372
兴华公园,辽宁,沈阳,沈阳,024,,铁西广场,兴华南街(,景点,公园/广场,123.364057,41.78797
铁西劳动公园,辽宁,沈阳,沈阳,024,,重工街沿线,肇工南街75号5单元6楼1门,景点,公园/广场,123.338048,41.786109
沈阳新乐遗址博物馆,辽宁,沈阳,沈阳,024,86130755,陵西,黄河北大街龙山路1号,景点,博物馆,123.415424,41.847486
康辉国际旅行社,辽宁,沈阳,沈阳,024,22815566,南市/马路湾,和平北大街69号,景点,旅行社,123.415951,41.793281
西关回民风味街,辽宁,沈阳,沈阳,024,22736301,北站/市府,市府大路383号西关回民大厅内,景点,步行街,123.439168,41.804076
抗美援朝烈士陵园,辽宁,沈阳,沈阳,024,86622109,陵东,陵东街上岗子1号（北陵公园东侧五里）,景点,烈士陵园,123.452082,41.85564
沈阳鸟岛,辽宁,沈阳,沈阳,024,88033900;88033929,东陵公园,东陵路195号（近东陵公园）,景点,自然风光,123.606785,41.826435
西塔,辽宁,沈阳,沈阳,024,,西塔/北市场,西塔街,景点,历史建筑,123.408701,41.805077
蓬瀛圣境,辽宁,沈阳,沈阳,024,,五里河,南塔街与南塔街80巷交叉口东南100米,景点,宗教,123.451461,41.765803
大佛寺,辽宁,沈阳,沈阳,024,24804423,五爱市场,大南街三段慈恩寺巷14号,景点,宗教,123.459716,41.78456
怀远门,辽宁,沈阳,沈阳,024,,中街/故宫,沈阳路2号,景点,人文古迹,123.448799,41.797755
中山广场,辽宁,沈阳,沈阳,024,,太原街,中国辽宁省沈阳市和平区,景点,公园/广场,123.410611,41.796975
东塔园,辽宁,沈阳,沈阳,024,,黎明广场,东塔街道东塔街2号,景点,更多景点/周边游,123.507345,41.797019
沈飞航空博览园,辽宁,沈阳,沈阳,024,86599602,三台子,陵北街1号,景点,博物馆,123.433387,41.864448
中国工业博物馆,辽宁,沈阳,沈阳,024,25702088,北二路,卫工北街14号,景点,博物馆,123.3552,41.821455
春秋旅游,辽宁,沈阳,沈阳,024,24345366,东中街,东顺城街137号,景点,旅行社,123.464753,41.793812
市府广场,辽宁,沈阳,沈阳,024,186****8889,北站/市府,青年大街1号,景点,广场,123.434115,41.804686
和平广场,辽宁,沈阳,沈阳,024,25225895,南市/马路湾,新兴街11号,景点,广场,123.404324,41.778416
怪坡国际滑雪场,辽宁,沈阳,沈阳,024,89730999;132****3927,沈北新区,清水台镇怪坡路80号,景点,滑雪场,123.649606,42.053579
关东影视城,辽宁,沈阳,沈阳,024,25511999,浑南区,棋盘山378号,景点,影视基地,123.702879,41.949514
罗士圈生态公园,辽宁,沈阳,沈阳,024,,砂山,玉屏二路钓鱼台七号南门对面,景点,公园/广场,123.388242,41.757911
长白岛森林公园,辽宁,沈阳,沈阳,024,,长白岛,南堤西路,景点,森林公园,123.38739,41.751621
辽宁大学-会议中心,辽宁,沈阳,沈阳,024,86864254,北行/辽大,崇山中路66号辽宁大学(近宁山路),景点,景点/周边游,123.403801,41.832529
沈阳国际旅行社,辽宁,沈阳,沈阳,024,159****8869,中街/故宫,中街路115号兴隆大家庭旅游超市,景点,旅行社,123.455275,41.800435
阳春园,辽宁,沈阳,沈阳,024,186****4346,砂山,砂阳路27号省妇婴医院附近,景点,公园/广场,123.395457,41.767099
