名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
西安中国画院,陕西,西安,西安,029,88221057,小寨,含光南路296号,景点,展览馆,108.931142,34.229329
西安半坡博物馆,陕西,西安,西安,029,62815385;62815430,纺织城,半坡路155号,景点,博物馆,109.05336,34.272957
西周车马博物馆,陕西,西安,西安,029,,长安区,马王街道,景点,博物馆,108.721344,34.204189
陕西历史博物馆,陕西,西安,西安,029,4000293806,翠华路,小寨东路91号（近翠华路）,景点,博物馆,108.955048,34.224197
陕西自然博物馆,陕西,西安,西安,029,85331256;85331352,电视台/会展中心,长安南路88号,景点,博物馆,108.946625,34.196053
西安秦岭野生动物园,陕西,西安,西安,029,85670000,秦岭沿线,滦镇街道107省道西安秦岭野生动物园,景点,野生动物园,108.866737,34.047466
革命公园游乐场,陕西,西安,西安,029,158****2952,解放路/火车站,西五路53号（革命公园内）,景点,游乐场,108.956696,34.271484
环城西苑公园,陕西,西安,西安,029,88618989,安定门,环城西路北段与铁塔寺路交叉口东北150米,景点,城市公园,108.923553,34.264015
莲湖公园,陕西,西安,西安,029,87256341,莲湖公园,莲湖路58号（近莲花池街）,景点,公园/广场,108.940376,34.268833
终南山·南五台景区,陕西,西安,西安,029,85949234,长安区,五台街道星火村,景点,森林公园,108.973212,34.005737
西安曲江春晓园,陕西,西安,西安,029,,大雁塔,小寨路街道雁塔南路大雁塔风景区大慈恩寺内,景点,古代遗迹,108.965889,34.217682
陕西太平国家森林公园,陕西,西安,鄠邑区,029,84959806,鄠邑区其他,太平峪煤场村,景点,森林公园,108.657867,33.91729
文景公园,陕西,西安,西安,029,88103178,文景路,凤城三路与文景路交汇处向南100米,景点,城市公园,108.935715,34.321537
新纪元公园,陕西,西安,西安,029,,高新路沿线,高新二路24号,景点,城市公园,108.896149,34.229794
西安市兴庆宫公园,陕西,西安,西安,029,82485349;82495193,交大东校区/理工大,咸宁西路55号,景点,城市公园,108.984047,34.254169
西安于右任故居博物馆,陕西,西安,西安,029,87273903;137****5005,钟楼/鼓楼,书院门步行街52号于右任故居纪念馆北门,景点,博物馆,108.949097,34.252838
八路军西安办事处纪念馆,陕西,西安,西安,029,87214661,解放路/火车站,西一路街道北新街七贤庄1号,景点,纪念馆,108.955307,34.273113
西安碑林博物馆,陕西,西安,西安,029,87253331,东大街,三学街15号（近书院门）,景点,博物馆,108.952904,34.253872
秦始皇帝陵博物院,陕西,西安,临潼区,029,81399174;81399127,兵马俑,秦陵北路与秦俑馆公路交叉口南5米,景点,博物馆,109.281157,34.385205
翠华山·秦岭终南山世界地质公园,陕西,西安,西安,029,85892176;85891750,长安区,太乙宫镇翠华山,景点,自然风光,109.011482,33.973438
大明宫国家遗址公园,陕西,西安,西安,029,81618201;4000096635,太华路沿线,自强路街道自强东路585号,景点,古代遗迹,108.963631,34.292938
大唐芙蓉园,陕西,西安,西安,029,85511888,曲江新区,曲江街道曲江新区芙蓉西路99号,景点,主题乐园,108.974396,34.212719
西安事变蜡像馆,陕西,西安,西安,029,,和平门/建国门,骊山脚下西花园,景点,蜡像馆,108.968048,34.25732
西安市青龙寺遗址景区,陕西,西安,西安,029,85521498,雁翔路,铁炉庙村北1号,景点,古代遗迹,108.989227,34.233528
西安曲江池遗址公园,陕西,西安,西安,029,85563398,曲江新区,曲江池东路与寒窑路交叉口西20米,景点,古代遗迹,108.982502,34.201504
陕西省工业展览馆,陕西,西安,西安,029,83912241,省体育场,长安北路1号,景点,展览馆,108.947946,34.231136
汤峪温泉碧水湾,陕西,西安,蓝田县,029,82931111;82836888,汤峪镇,汤峪镇汤峪温泉旅游度假区内,景点,温泉,109.223412,34.018116
西安城墙,陕西,西安,西安,029,87272792,南大街,环城南路西安城墙永宁门,景点,古代遗迹,108.94702,34.25022
西安钟楼,陕西,西安,西安,029,87276420,钟楼/鼓楼,东大街与北大街交叉口西南角,景点,古代遗迹,108.947128,34.259388
陕西省西安市植物园,陕西,西安,西安,029,61109924,雁塔区,花朝路与南三环交叉口东南角,景点,植物园,109.029711,34.209509
光大国际旅行社,陕西,西安,西安,029,88413337,西北大/西工大,含光北路137号鸿业大酒店2号楼3楼,景点,旅行社,108.93188,34.245659
儿童公园,陕西,西安,西安,029,,钟楼/鼓楼,西举院巷1号,景点,公园/广场,108.929527,34.261665
未央湖游乐园,陕西,西安,西安,029,86671776;86671533,未央区,阳光大道与环湖南路交汇处东北角,景点,游乐场,108.986092,34.402374
劳动公园,陕西,西安,西安,029,88648357;88614105,桃园路,团结东路196号,景点,公园/广场,108.904266,34.265079
丰庆公园,陕西,西安,西安,029,,桃园路,桃园南路6号(,景点,城市公园,108.898453,34.247849
中旅阳光国际旅行社有限公司,陕西,西安,临潼区,029,139****3518,华清池,西关正街75号西花园小区,景点,旅行社,109.201697,34.371207
西安市长乐公园,陕西,西安,西安,029,83283430,金花路沿线,金花北路35号（近互助立交）,景点,城市公园,108.999779,34.261875
大学习巷清真寺,陕西,西安,西安,029,,大皮院/西羊市,北院门街道大学习巷94号,景点,宗教,108.936172,34.262447
朱雀国家森林公园,陕西,西安,鄠邑区,029,84970888,鄠邑区其他,户菜路涝峪八里坪村,景点,森林公园,108.599693,33.810192
水陆庵景区,陕西,西安,蓝田县,029,82920741,蓝田县其他,10公里处普化镇杨斜村,景点,宗教,109.416804,34.131898
西安市广仁寺,陕西,西安,西安,029,87341676;183****9999,莲湖公园,西北一路152号,景点,宗教,108.925865,34.274586
湘子庙,陕西,西安,西安,029,,南院门,湘子街18号,景点,宗教,108.944344,34.252789
骡马市步行街,陕西,西安,西安,029,,钟楼/鼓楼,东大街,景点,步行街,108.951012,34.257439
西安大兴善寺,陕西,西安,西安,029,85227071;85216034,小寨,小寨路街道小寨兴善寺西街55号（小寨地铁站A西北口步行490米）,景点,宗教,108.943535,34.2271
大慈恩寺,陕西,西安,西安,029,85518039;85527958,大雁塔,小寨路街道慈恩路1号,景点,宗教,108.964203,34.217941
香积寺,陕西,西安,西安,029,85973209,秦岭沿线,终南大道与西一街交叉口西北角,景点,宗教,108.892479,34.122696
草堂寺,陕西,西安,鄠邑区,029,84953437;133****6713,鄠邑区其他,草堂街道,景点,宗教,108.744057,34.013676
华严寺,陕西,西安,西安,029,85280014,航天城,东南少陵原半坡上,景点,宗教,108.971474,34.135635
兴教寺,陕西,西安,西安,029,85937335,长安区,杜曲街道少陵原畔,景点,宗教,109.038841,34.090183
卧龙禅林,陕西,西安,西安,029,87517573,钟楼/鼓楼,柏树林街道开通西巷5号,景点,宗教,108.954773,34.254677
石佛寺,陕西,西安,西安,029,,秦岭沿线,子午大道南段（近西安联合学院）,景点,宗教,108.895515,34.081448
西安祥峪森林公园,陕西,西安,西安,029,85865069,长安区,东大街道,景点,森林公园,108.809589,33.966059
西五台云居寺,陕西,西安,西安,029,,莲湖公园,北院门街道莲湖路洒金桥162号,景点,宗教,108.930946,34.268223
木塔寺遗址生态公园,陕西,西安,西安,029,,高新路沿线,科技六路6号（木塔寺地铁站E口步行220米）,景点,公园/广场,108.896355,34.208546
辋川溶洞,陕西,西安,蓝田县,029,82822222,蓝田县其他,辋川镇沙平村,景点,自然风光,109.410133,34.072334
蔡文姬纪念馆,陕西,西安,蓝田县,029,82734159,蓝田县中心城区,文姬路南段文姬中学南侧,景点,纪念馆,109.308174,34.172729
西安曲江寒窑遗址公园,陕西,西安,西安,029,85563398,曲江新区,寒窑路18号,景点,古代遗迹,108.991714,34.198833
唐城墙遗址公园,陕西,西安,西安,029,85563398,曲江新区,雁南三路58号附近,景点,纪念公园,108.968475,34.204319
秦陵地宫仿真展览馆,陕西,西安,临潼区,029,83887515,兵马俑,秦始皇陵西侧秦陵北路136号,景点,展览馆,109.240304,34.381358
西安天马国际旅行社,陕西,西安,西安,029,86690862,桃园路,南二环西段395号亚美伟博广场19层,景点,旅行社,108.897576,34.245303
西安都城隍庙,陕西,西安,西安,029,87278333,桥梓口,北院门街道西大街129号,景点,宗教,108.93737,34.261196
罔极寺,陕西,西安,西安,029,83651571,长乐坊,东关炮房街49号,景点,宗教,108.976089,34.261879
万寿八仙宫,陕西,西安,西安,029,82488214,长乐坊,长乐坊北火巷12号,景点,宗教,108.979919,34.265381
