名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
郑州博物馆,河南,郑州,郑州,0371,67714993;67438090-8026,碧沙岗,林山寨街道嵩山南路168号（近绿城广场）,景点,博物馆,113.627411,34.745296
河南博物院,河南,郑州,郑州,0371,63511237;63511239,国贸360,农业路8号,景点,博物馆,113.672096,34.78822
河南省科学技术馆,河南,郑州,郑州,0371,65700365;65702211,国贸360,花园路53号,景点,科技馆,113.681234,34.781918
黄河博物馆,河南,郑州,郑州,0371,69556704;69556715,北大学城,花园北路与迎宾路交叉口,景点,博物馆,113.677808,34.871773
郑国车马坑遗址博物馆,河南,郑州,新郑市,0371,62672189;62680689,新郑市其他,文化路1号,景点,博物馆,113.736731,34.384159
郑州科学技术馆,河南,郑州,郑州,0371,67970900;67187043,碧沙岗,嵩山南路32号,景点,科技馆,113.627164,34.745882
郑州市动物园,河南,郑州,郑州,0371,65738095,国贸360,文化路街道花园路103号（关虎屯地铁站A口步行120米）,景点,动物园,113.684955,34.789288
碧沙岗公园,河南,郑州,郑州,0371,67882871,碧沙岗,嵩山北路与建设东路交叉口东南角,景点,城市公园,113.630452,34.751449
郑州市人民公园,河南,郑州,郑州,0371,66222219,火车站/二七广场,北二七路97号,景点,城市公园,113.662968,34.761399
铝城公园,河南,郑州,上街区,0371,68923592,上街区,济源路59号,景点,城市公园,113.298755,34.812138
五一公园,河南,郑州,郑州,0371,66687406,碧沙岗,文化宫路68号,景点,城市公园,113.617935,34.753647
紫荆山公园,河南,郑州,郑州,0371,65953180,人民路/紫荆山,金水路108号,景点,城市公园,113.687709,34.761936
大河村遗址博物馆,河南,郑州,郑州,0371,53306575;65692110,国家森林公园/北龙湖,中州大道与连霍高速交叉口东南800米,景点,古代遗迹,113.700026,34.84268
官渡古战场,河南,郑州,中牟县,0371,,中牟县其他,城官渡桥村,景点,更多景点/周边游,114.047762,34.733035
黄帝宫,河南,郑州,新密市,0371,63111097,新密市其他,刘寨镇银基轩辕圣境旅游文化度假区,景点,历史建筑,113.540213,34.47983
黄河文化公园,河南,郑州,郑州,0371,68222228,黄河游览区,江山路黄河南岸1号,景点,自然风光,113.512813,34.953381
裴李岗遗址,河南,郑州,新郑市,0371,,新郑市其他,城西北约8公里裴李岗村西,景点,古代遗迹,113.656638,34.436398
商城遗址,河南,郑州,郑州,0371,66324705,人民路/紫荆山,商城路4号,景点,古代遗迹,113.687145,34.751512
少林寺景区,河南,郑州,登封市,0371,62745599;62745000,少林寺风景区,207国道旁,景点,宗教,112.949076,34.486349
嵩山风景名胜区,河南,郑州,登封市,0371,62745000;62745599,登封市其他,环山旅游公路与少室路交叉口,景点,自然风光,113.045751,34.490865
升达艺术馆,河南,郑州,郑州,0371,66349138,人民路/紫荆山,城东路113号,景点,美术馆,113.690687,34.759396
二七纪念塔,河南,郑州,郑州,0371,66966713;66959799,火车站/二七广场,二七路230号二七广场（二七广场地铁站D口步行60米）,景点,纪念馆,113.666496,34.75219
郑州海洋馆,河南,郑州,郑州,0371,63567402;63567403,陈砦,国基路86号,景点,海洋馆,113.658014,34.820058
东风渠滨河公园,河南,郑州,郑州,0371,,省电视台,东风路与花园路交叉口,景点,城市公园,113.689842,34.795956
绿荫公园,河南,郑州,郑州,0371,,东风路,东风路西段,景点,城市公园,113.642937,34.800697
禅宗少林音乐大典,河南,郑州,登封市,0371,62809111;62809222,登封市其他,207国道待仙沟景区内（距少林寺7公里、三皇寨10公里）,景点,旅游项目/观光项目,112.974823,34.478179
CBD广场,河南,郑州,郑州,0371,,郑东新区CBD,商务内环路中央公园1号国际商务会展中心,景点,广场,113.728668,34.769627
城隍庙,河南,郑州,郑州,0371,66341775,人民路/紫荆山,商城路4号,景点,宗教,113.686976,34.752046
康百万庄园,河南,郑州,巩义市,0371,64322766;64324004,巩义市其他,康店镇庄园路59号,景点,历史建筑,112.950813,34.762943
白沙水库,河南,郑州,登封市,0371,,登封市其他,044县道与237省道交叉口东北500米,景点,现代建筑,113.249288,34.345662
月季公园,河南,郑州,郑州,0371,,月季公园,西站路80号,景点,动植物园,113.629316,34.766924
河南康辉国际旅行社,河南,郑州,郑州,0371,189****0537,国贸360,文化路街道农业路与政七街交叉口省会中心A座12A02（近政七街）,景点,旅行社,113.688343,34.786834
长江国际旅行社,河南,郑州,郑州,0371,155****3936,升龙广场,大学路升龙国际B5-1-2701（中原东路口南侧）,景点,旅行社,113.642998,34.726335
左照公园,河南,郑州,上街区,0371,,铝城公园,淮阳路与许昌路交叉口向南500米,景点,城市公园,113.312448,34.801335
大象陶瓷博物馆,河南,郑州,郑州,0371,138****0628,人民路/紫荆山,顺河路36号,景点,博物馆,113.689345,34.76019
登封历史博物馆,河南,郑州,登封市,0371,,百货大楼/中天广场,西关街,景点,博物馆,113.032514,34.458105
浮戏山雪花洞风景名胜区,河南,郑州,巩义市,0371,64184187;64184999,巩义市其他,口五路西100米,景点,自然风光,113.170124,34.659769
河南自然博物馆,河南,郑州,郑州,0371,68108999,郑东新区CBD,金水东路18号,景点,博物馆,113.751955,34.765577
河南省美术馆,河南,郑州,郑州,0371,69166692,郑东新区CBD,如意湖街道商务内环路CBD1号,景点,美术馆,113.724602,34.769979
夹津口镇森林公园,河南,郑州,巩义市,0371,,巩义市其他,巩登路,景点,森林公园,113.006531,34.527801
凌秀公园,河南,郑州,郑州,0371,,橄榄城,长江路（近连云路）,景点,城市公园,113.672325,34.708321
绿城公园,河南,郑州,郑州,0371,,帝湖,郑州化工物流园斜对面,景点,公园/广场,113.606522,34.716564
汽车公园,河南,郑州,郑州,0371,65646819,经三路沿线,中州大道与北环路交叉口东北,景点,公园/广场,113.705577,34.814898
任长霞纪念馆,河南,郑州,登封市,0371,62862618,百货大楼/中天广场,观石街7号,景点,博物馆,113.040616,34.46489
嵩岳公园,河南,郑州,郑州,0371,,长江中路沿线,郑密路（中原百姓广场西北70米）,景点,城市公园,113.627274,34.704372
万山森林公园生态保护区,河南,郑州,荥阳市,0371,,荥阳市其他,232省道,景点,自然风光,113.327191,34.700911
樱桃沟景区,河南,郑州,郑州,0371,61773855;68596677,二七区,侯寨街道樱花路,景点,自然风光,113.595404,34.612518
永泰寺,河南,郑州,登封市,0371,62749087,登封市其他,207国道与巩登路交汇处北600米路东,景点,宗教,112.979242,34.519906
原日本驻郑州领事馆旧址,河南,郑州,郑州,0371,,火车站/二七广场,东三马路80号,景点,历史建筑,113.667717,34.742821
健康路夜市,河南,郑州,郑州,0371,,大石桥/体育场,黄河路93号院-1号楼,景点,夜市,113.66423,34.77411
郑州绿化博览园,河南,郑州,中牟县,0371,69682333;69682288,人民医院,郑汴物流通道与人文路交叉口西南角,景点,植物园,113.934558,34.752929
锦江旅行社,河南,郑州,巩义市,0371,64370000,星月时代广场,新兴路,景点,旅行社,112.984569,34.755058
净馨公园,河南,郑州,郑州,0371,,长途客运总站,碧云路与华中路交口西120米,景点,城市公园,113.663887,34.717049
郑州植物园,河南,郑州,郑州,0371,67888933,马寨镇,莲湖街道四环路与陇海西路交叉口东北角,景点,植物园,113.536609,34.735112
中原福塔,河南,郑州,郑州,0371,60609199,经开区,明湖街道航海东路1206号,景点,现代建筑,113.728702,34.723293
嵩阳公园,河南,郑州,登封市,0371,62874842,嵩阳公园,嵩阳路与大禹路交叉口,景点,城市公园,113.033622,34.47093
刘禹锡公园,河南,郑州,荥阳市,0371,,荥阳植物园,京城路与新310国道交叉口东南角,景点,纪念公园,113.415629,34.770144
河南康辉国际旅行社,河南,郑州,郑州,0371,155****5572,新世界百货,紫荆山路与东里路交叉口（招商银行）人民银行家属院2号楼1601室（近城北路）,景点,旅行社,113.681393,34.757924
金辉国际旅行社,河南,郑州,郑州,0371,132****0986,建文新世界,文化路黄河路交叉口东50米路北中孚大厦4楼K座（文化路东侧）,景点,旅行社,113.668509,34.774799
古树苑,河南,郑州,郑州,0371,,惠济区,新城街道开元路与天河路交叉口向北300米,景点,自然风光,113.614164,34.86809
