名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
大渡口公园,重庆,重庆,重庆,023,68833668,大渡口公园,文体路77号重庆市大渡口,景点,城市公园,106.482361,29.481445
海棠烟雨公园,重庆,重庆,重庆,023,,南滨路,南滨路海棠溪,景点,城市公园,106.587151,29.545067
鸿恩寺森林公园,重庆,重庆,重庆,023,67625577,小苑/鸿恩寺,鸿恩路,景点,森林公园,106.507118,29.569754
枇杷山公园,重庆,重庆,重庆,023,63519973,七星岗,中国重庆市渝中区两路口街道枇杷山正街74号（七星岗地铁站2号口步行480米）,景点,城市公园,106.557884,29.553911
重庆平顶山公园,重庆,重庆,重庆,023,65422238,小龙坎,小龙坎解放坡1-1号,景点,城市公园,106.474121,29.54718
渝中人民公园,重庆,重庆,重庆,023,63710552,朝天门,公园路1号（小什字地铁站5A口步行400米）,景点,城市公园,106.5812,29.555132
珊瑚公园,重庆,重庆,重庆,023,63626814,两路口,长江滨江路380号,景点,城市公园,106.554329,29.549467
石门公园,重庆,重庆,重庆,023,67075268,大石坝,大石坝七村200号（近214车站）,景点,城市公园,106.488426,29.566706
重庆动物园,重庆,重庆,重庆,023,63817001,动物园,西郊路西郊一村1号,景点,动物园,106.505798,29.504011
歌乐山国家森林公园,重庆,重庆,重庆,023,65505778;65510647,歌乐山,歌乐山国家森林公园,景点,森林公园,106.428276,29.567812
双龙湖,重庆,重庆,合川区,023,42592250,合川区其他,涞滩镇,景点,自然风光,106.419182,30.173721
渣滓洞,重庆,重庆,重庆,023,65314419,歌乐山,凌云路,景点,革命旧址,106.433411,29.58552
重庆歌乐山烈士陵园,重庆,重庆,重庆,023,65312300,歌乐山,烈士墓政法三村,景点,烈士陵园,106.442596,29.57184
磁器口古镇,重庆,重庆,重庆,023,65322661,磁器口,童家桥街道办事处幸福街6单元,景点,古村古镇,106.450066,29.580837
大足石刻,重庆,重庆,大足区,023,43766699,大足区,宝顶镇宝顶山游客服务中心,景点,历史建筑,105.794352,29.748089
重庆大轰炸“六五”隧道惨案史实展馆,重庆,重庆,重庆,023,63258441,解放碑,较场口87号附4号,景点,陈列馆,106.575722,29.553864
动步公园,重庆,重庆,重庆,023,,新牌坊,新南路140号龙湖西苑内(,景点,公园/广场,106.506165,29.603336
南山植物园,重庆,重庆,重庆,023,62479135,黄桷垭/南山,南山公园路101号,景点,植物园,106.627937,29.555403
天赐温泉,重庆,重庆,重庆,023,65708888,九龙坡区,含谷镇天赐路1号,景点,温泉,106.371033,29.512234
圣灯山森林公园,重庆,重庆,重庆,023,66486664,巴南区,圣灯山镇圣灯山村,景点,森林公园,106.696053,29.224113
洪崖洞民俗风貌区,重庆,重庆,重庆,023,63039950;63039995,洪崖洞,嘉陵江滨江路88号（近沧白路）,景点,步行街,106.578902,29.562271
仙女山国家森林公园,重庆,重庆,武隆区,023,4000235666,仙女山景区,仙女山国家森林公园,景点,森林公园,107.749221,29.496065
万州慈云寺,重庆,重庆,万州区,023,58122299,万达广场/移民广场,沙龙路一段1068号,景点,宗教,108.375107,30.801672
文文鱼艺术画廊,重庆,重庆,重庆,023,63109195,解放碑,民生路318号巴渝世家国际创意基地201号,景点,展览馆,106.569145,29.557096
海宇温泉大酒店,重庆,重庆,重庆,023,63179999;63179968,北碚城南,双元大道198号,景点,温泉,106.395531,29.802435
鹅岭公园瞰胜楼,重庆,重庆,重庆,023,63656270,两路口,鹅岭正街176号（鹅岭公园内）,景点,城市公园,106.538307,29.549974
黄葛古道,重庆,重庆,重庆,023,,上新街,上新街前驱路277号,景点,古道,106.596873,29.540943
曾家岩50号周公馆,重庆,重庆,重庆,023,63862323,上清寺,中山四路曾家岩50号,景点,革命旧址,106.550552,29.565308
海兰云天温泉度假区,重庆,重庆,重庆,023,65746374;65741111,九龙坡区,金凤镇海兰湖海韵路1号2幢（近白塔坪森林公园）,景点,温泉,106.279472,29.504471
乐和乐都动物主题乐园,重庆,重庆,永川区,023,61179888,永川区其他,卫星湖街道凤龙路999号,景点,主题乐园,105.907815,29.290899
重庆中国三峡博物馆,重庆,重庆,重庆,023,63679066,北滨路,上清寺人民路236号,景点,博物馆,106.550484,29.561935
花卉园,重庆,重庆,重庆,023,67615502;63266326,花卉园,花卉园西路1号,景点,植物园,106.514397,29.581459
碧津公园,重庆,重庆,重庆,023,67822587,两路,胜利路172号（碧津地铁站1号口步行220米）,景点,城市公园,106.630226,29.713806
红岩革命历史博物馆,重庆,重庆,重庆,023,63303457,化龙桥/重庆天地,化龙桥街道红岩路52号,景点,博物馆,106.499168,29.553959
统景温泉,重庆,重庆,重庆,023,67288666;67288333,渝北区,景泉路66号,景点,温泉,106.826568,29.859015
重庆抗战遗址博物馆,重庆,重庆,重庆,023,62462447;62462831,黄桷垭/南山,南山街道南山植物园路1号,景点,博物馆,106.617462,29.566492
双桂堂,重庆,重庆,梁平区,023,53378056,梁平区其他,金带镇双桂村,景点,宗教,107.706142,30.605509
中山古镇,重庆,重庆,江津区,023,47768968,江津区,中山镇老街,景点,古村古镇,106.331096,28.845545
四面山景区,重庆,重庆,江津区,023,47666888;47666559,江津区,四面山镇龙潭路四面山景区,景点,自然风光,106.41015,28.648181
罗汉寺,重庆,重庆,重庆,023,63814089,解放碑,民族路与五一路交叉口东南80米,景点,宗教,106.581596,29.559666
重庆乌江龚滩旅游度假区,重庆,重庆,酉阳土家族苗族自治县,023,75677000;75706888,酉阳土家族苗族自治县其他,龚滩镇207号,景点,古村古镇,108.355295,28.927011
缙云山景区,重庆,重庆,重庆,023,68347130,缙云山,缙云山路27号,景点,自然风光,106.391441,29.844875
道教老君洞,重庆,重庆,重庆,023,62881055,黄桷垭/南山,南山街道老君坡29号,景点,宗教,106.601896,29.542024
涞滩古镇,重庆,重庆,合川区,023,42561888;42561777,合川区其他,涞滩镇涞兴街附近,景点,古村古镇,106.492991,30.174042
西沱古镇,重庆,重庆,石柱土家族自治县,023,,石柱土家族自治县其他,西沱镇石宝寨对面长江南岸,景点,古村古镇,108.220856,30.406956
小南海国家地质公园,重庆,重庆,黔江区,023,79856399;79856299,黔江区,小南海镇南海村,景点,自然风光,108.742012,29.643114
洪安古镇,重庆,重庆,秀山土家族苗族自治县,023,,秀山土家族苗族自治县其他,洪安镇边城路与洪渡路交叉口,景点,古村古镇,109.271974,28.499122
东溪古镇,重庆,重庆,綦江区,023,,綦江区其他,东溪镇正街20号,景点,古村古镇,106.674248,28.758777
丰盛古镇,重庆,重庆,重庆,023,66431107;66431791,巴南区,福寿街与响水街交叉口南侧,景点,古村古镇,106.934502,29.527859
芙蓉洞景区,重庆,重庆,武隆区,023,77742278;77741475,武隆区其他,芙蓉路88号,景点,自然风光,107.909781,29.219579
巴渝民俗文化村,重庆,重庆,重庆,023,67823414,两路,双龙大道87号,景点,民俗文化村,106.629639,29.710815
神女峰景区,重庆,重庆,巫山县,023,57756666;85525123,巫山县其他,滨江路2码头,景点,自然风光,110.01419,31.03244
武隆天生三桥,重庆,重庆,武隆区,023,4000235666,仙女山景区,银杏大道仙女山镇32号天生三桥游客接待中心,景点,自然风光,107.805125,29.433585
刘伯承同志纪念馆,重庆,重庆,开州区,023,52222914,开州区其他,盛山社区781号,景点,纪念馆,108.413651,31.189665
融汇温泉,重庆,重庆,重庆,023,65269999,沙坪坝区,汇泉路6号（近三峡广场）,景点,温泉,106.440844,29.540775
重庆华岩旅游区,重庆,重庆,重庆,023,65258900,华岩新城,华岩寺路华岩村151号,景点,园林,106.444595,29.488375
龙水峡地缝景区,重庆,重庆,武隆区,023,77790777;4008023666,仙女山景区,仙女镇银杏大道32号,景点,自然风光,107.792006,29.398819
白帝城·瞿塘峡景区,重庆,重庆,奉节县,023,85991001,奉节县其他,瞿塘峡口长江北岸白帝城风景区,景点,自然风光,109.603399,31.029694
宝轮寺,重庆,重庆,重庆,023,,磁器口,磁南街1号磁器口景区内,景点,宗教,106.452469,29.582201
重庆历史名人馆,重庆,重庆,重庆,023,63103378;63103217,大坪,经纬大道康德国际写字楼2幢18楼,景点,陈列馆,106.517525,29.542978
红岩魂广场,重庆,重庆,重庆,023,,歌乐山,童家桥正街附近,景点,广场,106.444756,29.572031
长江索道景区,重庆,重庆,重庆,023,68816888,解放碑,新华路151号（小什字地铁站5B口旁）,景点,城市观光,106.59002,29.554501
重庆市规划展览馆,重庆,重庆,重庆,023,63730777,朝天门,南滨路131号,景点,陈列馆,106.588867,29.575848
佛图关公园,重庆,重庆,重庆,023,,渝中区,中国重庆市渝中区长江一路鹅颈巷8号（佛图关地铁站2号口步行270米）,景点,文化公园,106.526918,29.547551
金观地下商业街,重庆,重庆,重庆,023,67953655,观音桥,观音桥步行街,景点,步行街,106.532084,29.575614
重庆市江北嘴中央商务区中央公园,重庆,重庆,重庆,023,,五里店/江北嘴,黄花园大桥北桥头,景点,城市公园,106.576088,29.572216
钓鱼城景区,重庆,重庆,合川区,023,42718788;42822763,合川区其他,钓鱼城大道南水军码头,景点,古代遗迹,106.31111,30.00366
大足宏声文化广场,重庆,重庆,大足区,023,,大足区,北环中路与宏声西路交叉口东北角,景点,广场,105.721637,29.704683
百林公园,重庆,重庆,重庆,023,67769998,渝北区,黄山大道中段1号,景点,城市公园,106.506467,29.61511
北碚公园,重庆,重庆,重庆,023,68359503,老城区/天奇广场,碚峡路106号,景点,城市公园,106.442612,29.827463
秀山土家族苗族滨江公园,重庆,重庆,秀山土家族苗族自治县,023,,秀山土家族苗族自治县其他,滨江路西,景点,城市公园,108.986862,28.439468
朝华文化公园,重庆,重庆,丰都县,023,,丰都县其他,三合镇平都大道西段136号,景点,文化公园,107.727383,29.865559
大垭口森林公园,重庆,重庆,开州区,023,58410337,开州区其他,香樟圆西大哑口,景点,森林公园,108.343927,30.925238
东山森林公园,重庆,重庆,梁平区,023,53222807,梁平区其他,蟠龙镇北环路487号,景点,森林公园,107.83136,30.642733
垫江凤山公园,重庆,重庆,垫江县,023,74666316,垫江,桂溪街道凤山宾馆附近,景点,城市公园,107.352043,30.326864
海棠公园,重庆,重庆,荣昌区,023,46785834,昌州故里,公园路178号,景点,城市公园,105.591541,29.411855
合川人民公园,重庆,重庆,合川区,023,42822910,城北,公园路27号,景点,城市公园,106.266563,29.999508
红池坝国家森林公园,重庆,重庆,巫溪县,023,51690000;51725555,巫溪县其他,红池坝景区,景点,森林公园,109.07261,31.539429
后堡公园,重庆,重庆,重庆,023,60539709,南坪,南坪正街83号（沁园蛋糕旁）,景点,城市公园,106.570168,29.539179
花山公园,重庆,重庆,南川区,023,186****3069,花山公园,东环路21号,景点,城市公园,107.106827,29.160496
黄葛渡公园,重庆,重庆,重庆,023,,南坪,南坪北路,景点,公园/广场,106.565189,29.534739
黄水国家森林公园,重庆,重庆,石柱土家族自治县,023,,石柱土家族自治县其他,404省道,景点,森林公园,108.402405,30.22691
江边公园,重庆,重庆,重庆,023,68864224,九滨路,培峡路,景点,城市公园,106.530655,29.538342
九重山国家森林公园,重庆,重庆,城口县,023,,城口县其他,城黔路西50米,景点,森林公园,108.556487,31.899107
龙凤溪公园,重庆,重庆,重庆,023,68284113,北碚区,望月村53号,景点,城市公园,106.432663,29.81785
铝镇公园,重庆,重庆,重庆,023,,西彭,铝城正街614千叶眼镜200,景点,城市公园,106.3284,29.303608
美茵运动公园,重庆,重庆,重庆,023,,开发区,石桥铺街道兰美路港城凤鸣香山东南150米,景点,城市公园,106.461761,29.528509
南州公园,重庆,重庆,綦江区,023,48663140,綦江区其他,陵园路21号,景点,城市公园,106.646784,29.024962
蟠龙湖公园,重庆,重庆,合川区,023,,城北,合阳城街道华西医院南侧,景点,城市公园,106.261909,30.000772
沙龙公园,重庆,重庆,万州区,023,58142004,沙龙路,沙龙路一段1278号,景点,城市公园,108.371323,30.800964
山谷公园,重庆,重庆,彭水苗族土家族自治县,023,,彭水苗族土家族自治县其他,高家台街10号附近,景点,城市公园,108.167152,29.29015
石马山公园,重庆,重庆,梁平区,023,53253789,石马山游乐园,梁山街道石马路111号,景点,城市公园,107.797955,30.661916
双龙湖公园,重庆,重庆,重庆,023,,两路,双龙湖街道双龙大道183号,景点,公园/广场,106.626251,29.708551
双桥公园,重庆,重庆,大足区,023,43332519,大足区,双龙西路23号,景点,城市公园,105.771217,29.485073
万州太白岩公园,重庆,重庆,万州区,023,,万州区其他,太白街道沙龙路一段（长城长大酒店西）,景点,纪念公园,108.367096,30.808619
