名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
长沙简牍博物馆,湖南,长沙,长沙,0731,85425680;85425676,天心阁/白沙井,白沙路92号（近天心公园）,景点,博物馆,112.983154,28.184875
中国湘绣博物馆,湖南,长沙,长沙,0731,82291821;82291061,梦泽园,车站北路39号,景点,博物馆,113.009845,28.198543
中国花炮文化博物馆,湖南,长沙,浏阳,0731,83809333,大瑶镇,花炮北路与思邈路交叉口南200米路东,景点,博物馆,113.725288,27.990292
天心公园,湖南,长沙,长沙,0731,82222404,天心阁/白沙井,天心路88号,景点,公园/广场,112.981743,28.184633
晓园公园,湖南,长沙,长沙,0731,82297258,袁家岭/火车站,五一大道70号（长沙火车站地铁站1号口步行210米）,景点,公园/广场,113.0084,28.195105
紫凤公园,湖南,长沙,长沙,0731,84481649,伍家岭/开福寺,新河路69号（湘江二桥东）,景点,公园/广场,112.976543,28.226541
南郊公园,湖南,长沙,长沙,0731,85413219,新开铺,南二环二段442号,景点,森林公园,112.965271,28.140909
星沙公园,湖南,长沙,长沙县,0731,,长沙经济技术开发区,星沙经济技术开发区金茂路3号(近三一路)星沙文化公园附近,景点,公园/广场,113.075533,28.235993
湖南烈士公园,湖南,长沙,长沙,0731,84556766,开福区,东风路1号,景点,公园/广场,112.999825,28.209818
八路军驻湘通讯处旧址,湖南,长沙,长沙,0731,82227830,芙蓉广场,蔡锷中路徐祠巷15号,景点,古代遗迹,112.981613,28.197769
橘子洲景区,湖南,长沙,长沙,0731,88882152,橘子洲公园,橘洲路橘子洲景区,景点,自然风光,112.96308,28.196502
古开福寺,湖南,长沙,长沙,0731,84485300,伍家岭/开福寺,开福寺路136号,景点,宗教,112.978355,28.224422
长沙世界之窗,湖南,长沙,长沙,0731,84256888;84256733,月湖公园/长沙大学,三一大道485号,景点,主题乐园,113.054992,28.236764
黄兴墓,湖南,长沙,长沙,0731,88825058,河西大学城,登高路58号岳麓山国家重点风景名胜区内,景点,古代遗迹,112.931946,28.180494
古麓山寺,湖南,长沙,长沙,0731,88825011,河西大学城,登高路58号岳麓山国家重点风景名胜区内,景点,宗教,112.934311,28.180229
新民学会成立会旧址,湖南,长沙,长沙,0731,88883401,溁湾镇/新外滩,新民路周家巷2号（溁湾镇地铁站7号口步行390米）,景点,古代遗迹,112.952271,28.193432
贾谊故居,湖南,长沙,长沙,0731,84456156;82272799,五一广场,太平街28号,景点,纪念馆,112.972092,28.192608
湖南雷锋纪念馆,湖南,长沙,长沙,0731,88107959;88165506,望城区,振兴路42号,景点,纪念馆,112.84507,28.203844
长沙海底世界,湖南,长沙,长沙,0731,84256005;84256002,月湖公园/长沙大学,三一大道501号,景点,海洋馆,113.0555,28.23208
杨开慧烈士纪念园,湖南,长沙,长沙县,0731,86432888;86430095,长沙县,开慧镇开慧村178号,景点,纪念馆,113.210846,28.587667
石燕湖,湖南,长沙,长沙,0731,86968065;89569049,雨花区,跳马镇石燕湖景区,景点,自然风光,113.087671,28.009118
陈天华和姚宏业墓,湖南,长沙,长沙,0731,88825058,河西大学城,登高路58号岳麓山国家重点风景名胜区内,景点,古代遗迹,112.934909,28.181339
