名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
港中旅国际旅行社,山东,青岛,青岛,0532,85881111,麦凯乐,漳州二路19号中环大厦29楼,景点,旅行社,120.399535,36.066525
青岛啤酒博物馆,山东,青岛,青岛,0532,4001691903,台东步行街,登州路街道登州路56号,景点,博物馆,120.346259,36.079329
青岛雕塑艺术馆,山东,青岛,青岛,0532,88707755,石老人海水浴场商圈,金家岭街道东海东路66号,景点,美术馆,120.454936,36.079952
青岛消防博物馆,山东,青岛,青岛,0532,66577216,浮山所/中联广场,金湖路16号,景点,博物馆,120.38442,36.079123
胶州市博物馆,山东,青岛,胶州市,0532,87213148,新城区,兰州东路99号,景点,博物馆,120.012514,36.254531
仰口海水浴场,山东,青岛,青岛,0532,67788538,崂山风景区,崂山景区旅游专用路东,景点,海滨沙滩,120.669506,36.239106
老舍公园,山东,青岛,青岛,0532,,火车站/团岛,安徽路19号,景点,纪念公园,120.321816,36.065874
南山公园,山东,青岛,青岛,0532,,小村庄,鞍山二路42号,景点,公园/广场,120.365315,36.103329
青岛市音乐广场,山东,青岛,青岛,0532,83886355,世贸中心,澳门路12号,景点,广场,120.380991,36.058392
柳湖公园,山东,青岛,青岛,0532,,老黄岛,崇明岛西路144号（柳湖大院内）,景点,公园/广场,120.211899,36.036968
海滨雕塑园,山东,青岛,青岛,0532,88707755,石老人海水浴场商圈,东海东路66号（东海东路和海青路交叉口）,景点,展览馆,120.454757,36.079837
山头公园,山东,青岛,青岛,0532,,浮山后,同乐三路2号浮山后六小区（近浮山森林公园）,景点,公园/广场,120.423877,36.099459
青岛海滨风景区小鱼山,山东,青岛,青岛,0532,82868532,湛山/太平角,福山支路24号,景点,自然风光,120.336472,36.058846
观象山公园,山东,青岛,青岛,0532,,火车站/团岛,江苏路街道观象二路21号,景点,公园/广场,120.326725,36.070258
北海公园,山东,青岛,青岛,0532,86915801,老黄岛,西北部刘公岛路264号,景点,公园/广场,120.210602,36.041748
灵山湾海滨公园,山东,青岛,青岛,0532,,黄岛区,隐珠街道滨海大道1388号,景点,公园/广场,120.067055,35.88292
胶州公园,山东,青岛,胶州市,0532,87213435,胶州路,郑州东路87号,景点,公园/广场,120.020033,36.291433
环湖公园,山东,青岛,青岛,0532,,浮山后,浮山新区街道劲松三路南段距银川西路200米路东,景点,公园/广场,120.419876,36.097294
青岛市海泊河公园,山东,青岛,青岛,0532,83716454,小村庄,康宁路1号（海泊桥海慈医疗地铁站A口步行240米）,景点,公园/广场,120.356391,36.095958
青岛海底世界,山东,青岛,青岛,0532,58617811;58617777,湛山/太平角,八大关街道莱阳路1号,景点,海洋馆,120.336053,36.057018
贮水山儿童公园,山东,青岛,青岛,0532,83800358,儿童公园/青岛港,辽宁路280号（近黄台路）,景点,公园/广场,120.336513,36.079917
海滨公园,山东,青岛,青岛,0532,158****8851,老黄岛,崇明岛东路,景点,公园/广场,120.224905,36.044565
信号山公园,山东,青岛,青岛,0532,66991166;82798055,火车站/团岛,龙山路16甲,景点,自然风光,120.331613,36.066527
鲁迅公园,山东,青岛,青岛,0532,82868471;82860760,湛山/太平角,琴屿路1号,景点,公园/广场,120.333097,36.054938
青岛海滨风景区小青岛,山东,青岛,青岛,0532,82863944,汇泉湾商圈,琴屿路26号,景点,自然风光,120.324169,36.053225
嘉定山公园,山东,青岛,青岛,0532,,海琴广场,上饶路北首,景点,公园/广场,120.373976,36.11195
北岭山森林公园,山东,青岛,青岛,0532,84851988,水清沟,四流南路7号,景点,森林公园,120.370548,36.119755
榉林公园,山东,青岛,青岛,0532,,台东步行街,太平山路1号,景点,公园/广场,120.356985,36.070485
青岛中山公园,山东,青岛,青岛,0532,82870564,湛山/太平角,文登路28号,景点,城市公园,120.351093,36.064228
汇泉广场,山东,青岛,青岛,0532,82865777,湛山/太平角,文登路1号(,景点,广场,120.345592,36.058395
青岛世纪广场,山东,青岛,青岛,0532,,丽达购物中心,秦岭路18号正北方向190米,景点,广场,120.470432,36.10408
青岛森林野生动物世界,山东,青岛,青岛,0532,86835555,黄岛区,小珠山路灵珠山风景区内,景点,野生动物园,120.058505,35.981937
青岛奥林匹克雕塑文化园,山东,青岛,青岛,0532,87759871,世纪公园,兴阳路318号,景点,文化公园,120.395136,36.28594
青岛动物园,山东,青岛,青岛,0532,82872970,湛山/太平角,八大关街道延安一路102号（近中山公园）,景点,动物园,120.34995,36.069571
百花苑,山东,青岛,青岛,0532,82862461,湛山/太平角,延安一路55号,景点,城市公园,120.345012,36.065713
青岛植物园,山东,青岛,青岛,0532,83861640,湛山/太平角,郧阳路7号,景点,植物园,120.361788,36.061467
青岛天主教堂,山东,青岛,青岛,0532,82865960,火车站/团岛,浙江路15号,景点,宗教,120.320715,36.068129
青岛市革命烈士纪念馆,山东,青岛,青岛,0532,83861236;83863750,湛山/太平角,芝泉路6号,景点,纪念馆,120.363181,36.066607
崂山风景名胜区,山东,青岛,青岛,0532,96616,崂山风景区,崂山景区专用路崂山风景区,景点,自然风光,120.644,36.184076
八大关景区,山东,青岛,青岛,0532,136****6596,湛山/太平角,武胜关支路10号,景点,步行街,120.35367,36.05042
马山国家级自然保护区,山东,青岛,青岛,0532,86657899,即墨区,蓝鳌路马山公园 游客服务中心,景点,自然风光,120.377145,36.403511
薛家岛,山东,青岛,青岛,0532,,开发区,胶州湾西海岸黄岛区境内和团岛之间,景点,自然风光,120.222068,35.958578
青岛海滨风景区,山东,青岛,青岛,0532,82872937,湛山/太平角,八大关街道京山路11号,景点,自然风光,120.36137,36.06001
灵山岛风景区,山东,青岛,青岛,0532,83172167;83171802,黄岛区,东南灵山湾中,景点,自然风光,120.172978,35.760279
大泽山风景名胜区,山东,青岛,平度市,0532,85372022,平度市,市北部,景点,自然风光,120.015668,36.999859
栈桥景区,山东,青岛,青岛,0532,82884548,火车站/团岛,中山路街道太平路12号（青岛站地铁站G口步行470米）,景点,历史建筑,120.318656,36.062039
青岛第三海水浴场,山东,青岛,青岛,0532,66577319;131****1111,湛山/太平角,湛山五路3号,景点,海滨沙滩,120.366205,36.050778
金麒玉麟温泉山庄,山东,青岛,青岛,0532,86576666,海泉湾度假区,温泉街道办事处大田路2777号,景点,温泉,120.661601,36.455421
阳光168国际旅行社,山东,青岛,青岛,0532,131****8650,儿童公园/青岛港,市场二路36号银河金星大厦8楼808（近高密路与易州路交叉口）,景点,旅行社,120.320218,36.074418
湛山寺,山东,青岛,青岛,0532,83862038,湛山/太平角,芝泉路2号,景点,宗教,120.364477,36.064985
五四广场,山东,青岛,青岛,0532,83886355,万象城,香港中路市政府正对面,景点,广场,120.385264,36.061483
